Región,CasosTotales
Arica y Parinacota,0
Tarapacá,0
Antofagasta,0
Atacama,0
Coquimbo,0
Valparaíso,0
Metropolitana,23
O’Higgins,0
Maule,7
Ñuble,1
Biobío,1
Araucanía,0
Los Ríos,0
Los Lagos,1
Aysén,0
Magallanes,0
