Región,CasosTotales
Arica y Parinacota,2
Tarapacá,0
Antofagasta,11
Atacama,1
Coquimbo,5
Valparaíso,16
Metropolitana,409
O’Higgins,8
Maule,25
Ñuble,64
Biobío,35
Araucanía,27
Los Ríos,1
Los Lagos,23
Aysén,1
Magallanes,4
