Región,CasosTotales
Arica y Parinacota,1
Tarapacá,0
Antofagasta,10
Atacama,1
Coquimbo,3
Valparaíso,13
Metropolitana,359
O’Higgins,7
Maule,15
Ñuble,58
Biobío,30
Araucanía,15
Los Ríos,1
Los Lagos,20
Aysén,1
Magallanes,3
