Región,CasosTotales
Arica y Parinacota,2
Tarapacá,4
Antofagasta,13
Atacama,1
Coquimbo,11
Valparaíso,25
Metropolitana,540
O’Higgins,9
Maule,29
Ñuble,105
Biobío,73
Araucanía,59
Los Ríos,6
Los Lagos,36
Aysén,1
Magallanes,8
