Región,CasosTotales
Arica y Parinacota,2
Tarapacá,1
Antofagasta,11
Atacama,1
Coquimbo,6
Valparaíso,19
Metropolitana,459
O’Higgins,8
Maule,28
Ñuble,81
Biobío,46
Araucanía,40
Los Ríos,4
Los Lagos,33
Aysén,1
Magallanes,6
