Región,ID_Región,Comuna,Población,Número de Casos Confirmados,Tasa incidencia acumulada,Número de Fallecidos,Tasa de mortalidad,Número de Casos Actuales,Tasa de Incidencia Actual,Número de Casos Activos,Tasa de Incidencia Activos,Confirmados/100kHab
Arica y Parinacota,15,Arica,247552.0,2139,864.1,23,9.3,496,200.4,495,200.0,864.0608842
Arica y Parinacota,15,Camarones,1233.0,0,0.0,0,0.0,0,0.0,0,0.0,0.0
Arica y Parinacota,15,General Lagos,810.0,0,0.0,0,0.0,0,0.0,0,0.0,0.0
Arica y Parinacota,15,Putre,2515.0,11,437.4,0,0.0,1,39.8,1,39.8,437.3757455
Desconocido,,-,,3,0.0,0,0.0,0,0.0,0,0.0,
Tarapacá,1,Alto Hospicio,129999.0,2065,1588.5,30,23.1,206,158.5,205,157.7,1588.473757
Tarapacá,1,Camiña,1375.0,33,2400.0,2,145.5,13,945.5,13,945.5,2400.0
Tarapacá,1,Colchane,1583.0,61,3853.4,2,126.3,15,947.6,15,947.6,3853.4428299999995
Tarapacá,1,Huara,3000.0,78,2600.0,3,100.0,15,500.0,15,500.0,2600.0
Tarapacá,1,Iquique,223463.0,3583,1603.4,69,30.9,456,204.1,455,203.6,1603.39743
Tarapacá,1,Pica,5958.0,111,1863.0,0,0.0,29,486.7,29,486.7,1863.041289
Tarapacá,1,Pozo Almonte,17395.0,429,2466.2,6,34.5,55,316.2,55,316.2,2466.225927
Desconocido,,-,,302,0.0,0,0.0,40,0.0,40,0.0,
Antofagasta,2,Antofagasta,425725.0,4620,1085.2,63,14.8,909,213.5,905,212.6,1085.2075869999999
Antofagasta,2,Calama,190336.0,4667,2452.0,117,61.5,819,430.3,814,427.7,2451.979657
Antofagasta,2,María Elena,6814.0,264,3874.4,6,88.1,31,454.9,30,440.3,3874.3762840000004
Antofagasta,2,Mejillones,14776.0,408,2761.2,4,27.1,61,412.8,61,412.8,2761.234434
Antofagasta,2,Ollagüe,287.0,9,3135.9,0,0.0,2,696.9,2,696.9,3135.888502
Antofagasta,2,San Pedro de Atacama,10434.0,126,1207.6,2,19.2,40,383.4,40,383.4,1207.590569
Antofagasta,2,Sierra Gorda,1746.0,49,2806.4,0,0.0,4,229.1,4,229.1,2806.414662
Antofagasta,2,Taltal,13657.0,78,571.1,2,14.6,11,80.5,11,80.5,571.1356812999999
