Región,ID_Región,Comuna,Población,Número de Casos Confirmados,Tasa incidencia acumulada,Número de Fallecidos,Tasa de mortalidad,Número de Casos Actuales,Tasa de Incidencia Actual,Número de Casos Activos,Tasa de Incidencia Activos,Confirmados/100kHab
Arica y Parinacota,15,Arica,247552.0,1533,619.3,12,4.8,382,154.3,381,153.9,619.2638314
Arica y Parinacota,15,Camarones,1233.0,0,0.0,0,0.0,0,0.0,0,0.0,0.0
Arica y Parinacota,15,General Lagos,810.0,0,0.0,0,0.0,0,0.0,0,0.0,0.0
Arica y Parinacota,15,Putre,2515.0,10,397.6,0,0.0,7,278.3,7,278.3,397.6143141
Desconocido,,-,,1,0.0,0,0.0,0,0.0,0,0.0,
Tarapacá,1,Alto Hospicio,129999.0,1815,1396.2,22,16.9,239,183.8,239,183.8,1396.1645859999999
Tarapacá,1,Camiña,1375.0,16,1163.6,2,145.5,2,145.5,1,72.7,1163.636364
Tarapacá,1,Colchane,1583.0,43,2716.4,2,126.3,28,1768.8,27,1705.6,2716.361339
Tarapacá,1,Huara,3000.0,63,2100.0,2,66.7,12,400.0,12,400.0,2100.0
Tarapacá,1,Iquique,223463.0,2952,1321.0,50,22.4,550,246.1,548,245.2,1321.024062
Tarapacá,1,Pica,5958.0,83,1393.1,0,0.0,18,302.1,18,302.1,1393.084928
Tarapacá,1,Pozo Almonte,17395.0,342,1966.1,2,11.5,106,609.4,106,609.4,1966.0822079999998
Desconocido,,-,,271,0.0,0,0.0,40,0.0,40,0.0,
Antofagasta,2,Antofagasta,425725.0,3187,748.6,32,7.5,647,152.0,646,151.7,748.6053203
Antofagasta,2,Calama,190336.0,3095,1626.1,56,29.4,984,517.0,978,513.8,1626.071789
Antofagasta,2,María Elena,6814.0,208,3052.5,4,58.7,21,308.2,21,308.2,3052.538891
Antofagasta,2,Mejillones,14776.0,316,2138.6,4,27.1,22,148.9,22,148.9,2138.6031399999997
Antofagasta,2,Ollagüe,287.0,2,696.9,0,0.0,2,696.9,2,696.9,696.8641115
Antofagasta,2,San Pedro de Atacama,10434.0,63,603.8,1,9.6,29,277.9,29,277.9,603.7952846
Antofagasta,2,Sierra Gorda,1746.0,47,2691.9,0,0.0,5,286.4,5,286.4,2691.867125
Antofagasta,2,Taltal,13657.0,62,454.0,0,0.0,15,109.8,15,109.8,453.97964410000003
Antofagasta,2,Tocopilla,28079.0,76,270.7,2,7.1,28,99.7,28,99.7,270.6649097
Desconocido,,-,,116,0.0,0,0.0,103,0.0,103,0.0,
Atacama,3,Alto del Carmen,5729.0,6,104.7,0,0.0,2,34.9,2,34.9,104.7303194
Atacama,3,Caldera,19426.0,20,103.0,0,0.0,7,36.0,7,36.0,102.9548028
Atacama,3,Chañaral,13164.0,20,151.9,0,0.0,15,113.9,15,113.9,151.92950469999997
Atacama,3,Copiapó,171766.0,474,276.0,0,0.0,158,92.0,158,92.0,275.956825
Atacama,3,Diego de Almagro,14358.0,35,243.8,1,7.0,6,41.8,6,41.8,243.76654130000003
Atacama,3,Freirina,7681.0,8,104.2,0,0.0,5,65.1,5,65.1,104.1531051
