Región,ID_Región,Comuna,Población,Número de Casos Confirmados,Tasa incidencia acumulada,Número de Fallecidos,Tasa de mortalidad,Número de Casos Actuales,Tasa de Incidencia Actual,Número de Casos Activos,Tasa de Incidencia Activos,Confirmados/100kHab
Arica y Parinacota,15,Arica,247552.0,1758,710.2,22,8.9,408,164.8,408,164.8,710.1538262999999
Arica y Parinacota,15,Camarones,1233.0,0,0.0,0,0.0,0,0.0,0,0.0,0.0
Arica y Parinacota,15,General Lagos,810.0,0,0.0,0,0.0,0,0.0,0,0.0,0.0
Arica y Parinacota,15,Putre,2515.0,11,437.4,0,0.0,1,39.8,1,39.8,437.3757455
Desconocido,,-,,3,0.0,0,0.0,1,0.0,1,0.0,
Tarapacá,1,Alto Hospicio,129999.0,1949,1499.2,25,19.2,218,167.7,218,167.7,1499.2423019999999
Tarapacá,1,Camiña,1375.0,25,1818.2,2,145.5,8,581.8,8,581.8,1818.181818
Tarapacá,1,Colchane,1583.0,54,3411.2,2,126.3,24,1516.1,24,1516.1,3411.2444729999997
Tarapacá,1,Huara,3000.0,65,2166.7,3,100.0,9,300.0,9,300.0,2166.666667
Tarapacá,1,Iquique,223463.0,3210,1436.5,64,28.6,496,222.0,495,221.5,1436.479417
Tarapacá,1,Pica,5958.0,90,1510.6,0,0.0,17,285.3,17,285.3,1510.574018
Tarapacá,1,Pozo Almonte,17395.0,377,2167.3,3,17.2,64,367.9,64,367.9,2167.289451
Desconocido,,-,,260,0.0,0,0.0,36,0.0,36,0.0,
Antofagasta,2,Antofagasta,425725.0,3777,887.2,49,11.5,782,183.7,780,183.2,887.1924364
Antofagasta,2,Calama,190336.0,3847,2021.2,94,49.4,935,491.2,923,484.9,2021.1625760000002
Antofagasta,2,María Elena,6814.0,222,3258.0,4,58.7,32,469.6,32,469.6,3257.998239
Antofagasta,2,Mejillones,14776.0,343,2321.3,4,27.1,34,230.1,34,230.1,2321.33189
Antofagasta,2,Ollagüe,287.0,6,2090.6,0,0.0,4,1393.7,4,1393.7,2090.592334
Antofagasta,2,San Pedro de Atacama,10434.0,89,853.0,1,9.6,35,335.4,35,335.4,852.9806402
Antofagasta,2,Sierra Gorda,1746.0,44,2520.0,0,0.0,2,114.5,2,114.5,2520.045819
Antofagasta,2,Taltal,13657.0,65,475.9,2,14.6,10,73.2,10,73.2,475.9464011
Antofagasta,2,Tocopilla,28079.0,112,398.9,4,14.2,42,149.6,42,149.6,398.87460380000005
Desconocido,,-,,86,0.0,0,0.0,63,0.0,63,0.0,
Atacama,3,Alto del Carmen,5729.0,6,104.7,0,0.0,1,17.5,1,17.5,104.7303194
Atacama,3,Caldera,19426.0,26,133.8,0,0.0,8,41.2,8,41.2,133.84124369999998
Atacama,3,Chañaral,13164.0,22,167.1,0,0.0,12,91.2,12,91.2,167.1224552
Atacama,3,Copiapó,171766.0,603,351.1,1,0.6,196,114.1,196,114.1,351.05899889999995
Atacama,3,Diego de Almagro,14358.0,36,250.7,1,7.0,7,48.8,7,48.8,250.73129959999997
Atacama,3,Freirina,7681.0,16,208.3,0,0.0,12,156.2,12,156.2,208.30621010000002
Atacama,3,Huasco,11264.0,17,150.9,0,0.0,5,44.4,5,44.4,150.9232955
Atacama,3,Tierra Amarilla,14312.0,67,468.1,0,0.0,17,118.8,17,118.8,468.13862489999997
Atacama,3,Vallenar,57009.0,228,399.9,0,0.0,80,140.3,80,140.3,399.9368521
Desconocido,,-,,9,0.0,0,0.0,9,0.0,9,0.0,
Coquimbo,4,Andacollo,11791.0,37,313.8,1,8.5,10,84.8,10,84.8,313.79866
Coquimbo,4,Canela,9546.0,12,125.7,1,10.5,5,52.4,5,52.4,125.70710249999999
Coquimbo,4,Combarbalá,13884.0,29,208.9,0,0.0,7,50.4,7,50.4,208.8735235
Coquimbo,4,Coquimbo,256735.0,971,378.2,6,2.3,235,91.5,235,91.5,378.21099580000003
Coquimbo,4,Illapel,32801.0,103,314.0,0,0.0,25,76.2,25,76.2,314.0148166
Coquimbo,4,La Higuera,4450.0,4,89.9,0,0.0,1,22.5,1,22.5,89.88764045
Coquimbo,4,La Serena,249656.0,813,325.6,8,3.2,239,95.7,238,95.3,325.64809180000003
Coquimbo,4,Los Vilos,23374.0,39,166.9,1,4.3,17,72.7,17,72.7,166.8520578
Coquimbo,4,Monte Patria,32527.0,177,544.2,1,3.1,33,101.5,33,101.5,544.1633105000001
Coquimbo,4,Ovalle,121269.0,814,671.2,8,6.6,180,148.4,180,148.4,671.2350230000001
Coquimbo,4,Paiguano,4675.0,7,149.7,0,0.0,0,0.0,0,0.0,149.7326203
Coquimbo,4,Punitaqui,12165.0,49,402.8,2,16.4,9,74.0,9,74.0,402.7949034
Coquimbo,4,Río Hurtado,4372.0,17,388.8,0,0.0,0,0.0,0,0.0,388.83806039999996
Coquimbo,4,Salamanca,29110.0,56,192.4,0,0.0,4,13.7,4,13.7,192.37375469999998
Coquimbo,4,Vicuña,29741.0,34,114.3,0,0.0,3,10.1,3,10.1,114.3202986
Desconocido,,-,,120,0.0,0,0.0,54,0.0,54,0.0,
Valparaíso,5,Algarrobo,15174.0,96,632.7,6,39.5,10,65.9,10,65.9,632.6611309
Valparaíso,5,Cabildo,20663.0,149,721.1,2,9.7,55,266.2,55,266.2,721.0956783
Valparaíso,5,Calera,53591.0,285,531.8,5,9.3,90,167.9,90,167.9,531.8057136
Valparaíso,5,Calle Larga,16482.0,165,1001.1,0,0.0,36,218.4,36,218.4,1001.0921
Valparaíso,5,Cartagena,25357.0,121,477.2,2,7.9,26,102.5,26,102.5,477.185787
Valparaíso,5,Casablanca,29170.0,127,435.4,0,0.0,39,133.7,39,133.7,435.37881380000005
Valparaíso,5,Catemu,15213.0,71,466.7,1,6.6,15,98.6,15,98.6,466.70610660000006
Valparaíso,5,Concón,45889.0,255,555.7,4,8.7,62,135.1,61,132.9,555.6887271
Valparaíso,5,El Quisco,17742.0,108,608.7,3,16.9,10,56.4,10,56.4,608.7250592
Valparaíso,5,El Tabo,14338.0,128,892.7,4,27.9,20,139.5,20,139.5,892.7325986999999
Valparaíso,5,Hijuelas,19099.0,84,439.8,3,15.7,25,130.9,24,125.7,439.8136028
Valparaíso,5,Isla de Pascua,8277.0,5,60.4,0,0.0,0,0.0,0,0.0,60.40836052
Valparaíso,5,Juan Fernández,1033.0,0,0.0,0,0.0,0,0.0,0,0.0,0.0
Valparaíso,5,La Cruz,25321.0,87,343.6,1,3.9,15,59.2,15,59.2,343.5883259
Valparaíso,5,La Ligua,37739.0,187,495.5,4,10.6,44,116.6,44,116.6,495.508625
Valparaíso,5,Limache,49931.0,453,907.3,7,14.0,125,250.3,124,248.3,907.2520078
Valparaíso,5,Llaillay,26533.0,186,701.0,4,15.1,40,150.8,40,150.8,701.0138318
Valparaíso,5,Los Andes,68093.0,663,973.7,19,27.9,132,193.9,132,193.9,973.6683652999999
Valparaíso,5,Nogales,23490.0,68,289.5,0,0.0,18,76.6,18,76.6,289.4848872
Valparaíso,5,Olmué,19266.0,71,368.5,2,10.4,12,62.3,12,62.3,368.5248625
Valparaíso,5,Panquehue,7633.0,57,746.8,0,0.0,16,209.6,16,209.6,746.7575003
Valparaíso,5,Papudo,6201.0,62,999.8,0,0.0,11,177.4,11,177.4,999.8387357
Valparaíso,5,Petorca,10558.0,48,454.6,0,0.0,13,123.1,13,123.1,454.631559
Valparaíso,5,Puchuncaví,20071.0,102,508.2,4,19.9,27,134.5,27,134.5,508.1959045
Valparaíso,5,Putaendo,17645.0,141,799.1,0,0.0,38,215.4,38,215.4,799.0932275
Valparaíso,5,Quillota,97572.0,837,857.8,13,13.3,266,272.6,263,269.5,857.8280653999999
Valparaíso,5,Quilpué,167085.0,927,554.8,8,4.8,244,146.0,243,145.4,554.8074333
Valparaíso,5,Quintero,36135.0,271,750.0,5,13.8,53,146.7,53,146.7,749.9654075
Valparaíso,5,Rinconada,11263.0,122,1083.2,1,8.9,31,275.2,31,275.2,1083.192755
Valparaíso,5,San Antonio,96761.0,935,966.3,25,25.8,117,120.9,117,120.9,966.2984052999999
Valparaíso,5,San Esteban,20643.0,125,605.5,0,0.0,32,155.0,32,155.0,605.5321416
Valparaíso,5,San Felipe,83494.0,789,945.0,17,20.4,154,184.4,154,184.4,944.9780822999999
Valparaíso,5,Santa María,16367.0,136,830.9,1,6.1,39,238.3,39,238.3,830.9403067000001
Valparaíso,5,Santo Domingo,11934.0,118,988.8,1,8.4,13,108.9,13,108.9,988.771577
Valparaíso,5,Valparaíso,315732.0,2643,837.1,48,15.2,622,197.0,618,195.7,837.1023526
