Región,ID_Región,Comuna,Población,Número de Casos Confirmados,Tasa incidencia acumulada,Número de Casos Actuales,Tasa de Incidencia Actual,Número de Casos Activos,Tasa de Incidencia Activos,Confirmados/100kHab
Arica y Parinacota,15,Arica,247552,904,365.2,278,112.3,278,112.3,365
Arica y Parinacota,15,Camarones,1233,0,0,0,0,0,0,0
Arica y Parinacota,15,General Lagos,810,0,0,0,0,0,0,0
Arica y Parinacota,15,Putre,2515,1,39.8,1,39.8,1,39.8,40
Tarapacá,1,Alto Hospicio,129999,1238,952.3,302,232.3,301,231.5,952
Tarapacá,1,Camiña,1375,10,727.3,7,509.1,7,509.1,727
Tarapacá,1,Colchane,1583,5,315.9,3,189.5,3,189.5,316
Tarapacá,1,Huara,3000,37,1233.3,8,266.7,8,266.7,1.233
Tarapacá,1,Iquique,223463,1904,852,529,236.7,521,233.1,852
Tarapacá,1,Pica,5958,59,990.3,14,235,14,235,990
Tarapacá,1,Pozo Almonte,17395,121,695.6,57,327.7,56,321.9,696
Antofagasta,2,Antofagasta,425725,1876,440.7,309,72.6,307,72.1,441
Antofagasta,2,Calama,190336,756,397.2,96,50.4,92,48.3,397
Antofagasta,2,María Elena,6814,168,2465.5,8,117.4,8,117.4,2.466
Antofagasta,2,Mejillones,14776,279,1888.2,15,101.5,13,88,1.888
Antofagasta,2,Ollagüe,287,0,0,0,0,0,0,0
Antofagasta,2,San Pedro de Atacama,10434,11,105.4,1,9.6,1,9.6,105
Antofagasta,2,Sierra Gorda,1746,21,1202.7,5,286.4,5,286.4,1.203
Antofagasta,2,Taltal,13657,37,270.9,7,51.3,7,51.3,271
Antofagasta,2,Tocopilla,28079,38,135.3,3,10.7,3,10.7,135
Atacama,3,Alto del Carmen,5729,2,34.9,2,34.9,2,34.9,35
Atacama,3,Caldera,19426,10,51.5,4,20.6,4,20.6,51
Atacama,3,Chañaral,13164,1,7.6,0,0,0,0,8
Atacama,3,Copiapó,171766,207,120.5,89,51.8,89,51.8,121
