Región,ID_Región,Comuna,Población,Número de Casos Confirmados,Tasa incidencia acumulada,Número de Casos Actuales,Tasa de Incidencia Actual,Número de Casos Activos,Tasa de Incidencia Activos,Confirmados/100kHab
Arica y Parinacota,15,Arica,247552,806,325.6,248,100.2,248,100.2,326
Arica y Parinacota,15,Camarones,1233,0,0,0,0,0,0,0
Arica y Parinacota,15,General Lagos,810,0,0,0,0,0,0,0
Arica y Parinacota,15,Putre,2515,0,0,0,0,0,0,0
Tarapacá,1,Alto Hospicio,129999,1062,816.9,266,204.6,265,203.8,817
Tarapacá,1,Camiña,1375,8,581.8,7,509.1,7,509.1,582
Tarapacá,1,Colchane,1583,4,252.7,3,189.5,3,189.5,253
Tarapacá,1,Huara,3000,33,1100,6,200,6,200,1.100
Tarapacá,1,Iquique,223463,1700,760.8,513,229.6,509,227.8,761
Tarapacá,1,Pica,5958,57,956.7,15,251.8,15,251.8,957
Tarapacá,1,Pozo Almonte,17395,91,523.1,44,252.9,44,252.9,523
Antofagasta,2,Antofagasta,425725,1710,401.7,253,59.4,251,59,402
Antofagasta,2,Calama,190336,626,328.9,74,38.9,73,38.4,329
Antofagasta,2,María Elena,6814,160,2348.1,5,73.4,5,73.4,2.348
Antofagasta,2,Mejillones,14776,273,1847.6,15,101.5,14,94.7,1.848
Antofagasta,2,Ollagüe,287,0,0,0,0,0,0,0
Antofagasta,2,San Pedro de Atacama,10434,9,86.3,1,9.6,1,9.6,86
Antofagasta,2,Sierra Gorda,1746,16,916.4,0,0,0,0,916
Antofagasta,2,Taltal,13657,37,270.9,8,58.6,8,58.6,271
Antofagasta,2,Tocopilla,28079,35,124.6,3,10.7,3,10.7,125
Atacama,3,Alto del Carmen,5729,1,17.5,1,17.5,1,17.5,17
Atacama,3,Caldera,19426,9,46.3,4,20.6,4,20.6,46
Atacama,3,Chañaral,13164,1,7.6,1,7.6,1,7.6,8
Atacama,3,Copiapó,171766,160,93.1,55,32,55,32,93
Atacama,3,Diego de Almagro,14358,13,90.5,4,27.9,4,27.9,91
Atacama,3,Freirina,7681,1,13,0,0,0,0,13
Atacama,3,Huasco,11264,2,17.8,1,8.9,1,8.9,18
Atacama,3,Tierra Amarilla,14312,25,174.7,2,14,2,14,175
Atacama,3,Vallenar,57009,65,114,16,28.1,16,28.1,114
Coquimbo,4,Andacollo,11791,17,144.2,4,33.9,3,25.4,144
Coquimbo,4,Canela,9546,3,31.4,0,0,0,0,31
Coquimbo,4,Combarbalá,13884,14,100.8,3,21.6,3,21.6,101
Coquimbo,4,Coquimbo,256735,281,109.5,55,21.4,55,21.4,109
Coquimbo,4,Illapel,32801,31,94.5,8,24.4,8,24.4,95
Coquimbo,4,La Higuera,4450,2,44.9,2,44.9,2,44.9,45
Coquimbo,4,La Serena,249656,205,82.1,44,17.6,44,17.6,82
Coquimbo,4,Los Vilos,23374,6,25.7,1,4.3,1,4.3,26
Coquimbo,4,Monte Patria,32527,55,169.1,17,52.3,17,52.3,169
Coquimbo,4,Ovalle,121269,171,141,55,45.4,55,45.4,141
Coquimbo,4,Paiguano,4675,3,64.2,3,64.2,3,64.2,64
Coquimbo,4,Punitaqui,12165,17,139.7,5,41.1,5,41.1,140
Coquimbo,4,Río Hurtado,4372,7,160.1,4,91.5,4,91.5,160
Coquimbo,4,Salamanca,29110,22,75.6,7,24,7,24,76
Coquimbo,4,Vicuña,29741,17,57.2,3,10.1,3,10.1,57
Valparaíso,5,Algarrobo,15174,48,316.3,6,39.5,6,39.5,316
Valparaíso,5,Cabildo,20663,24,116.1,5,24.2,5,24.2,116
Valparaíso,5,Calera,53591,82,153,19,35.5,19,35.5,153
