Región,ID_Región,Comuna,Población,Número de Casos Confirmados,Tasa incidencia acumulada,Número de Casos Actuales,Tasa de Incidencia Actual,Número de Casos Activos,Tasa de Incidencia Activos,Confirmados/100kHab
Arica y Parinacota,15,Arica,247552,310,"125,2",88,"35,5",87,"35,1",125.22621509824198
Arica y Parinacota,15,Camarones,1233,0,"0,0",0,"0,0",0,"0,0",0.0
Arica y Parinacota,15,General Lagos,810,0,"0,0",0,"0,0",0,"0,0",0.0
Arica y Parinacota,15,Putre,2515,0,"0,0",0,"0,0",0,"0,0",0.0
Tarapacá,1,Alto Hospicio,129999,128,"98,5",78,"60,0",78,"60,0",98.46229586381433
Tarapacá,1,Camiña,1375,0,"0,0",0,"0,0",0,"0,0",0.0
Tarapacá,1,Colchane,1583,0,"0,0",0,"0,0",0,"0,0",0.0
Tarapacá,1,Huara,3000,3,"100,0",3,"100,0",3,"100,0",100.0
Tarapacá,1,Iquique,223463,122,"54,6",63,"28,2",63,"28,2",54.59516788014123
Tarapacá,1,Pica,5958,31,"520,3",0,"0,0",0,"0,0",520.3088284659282
Tarapacá,1,Pozo Almonte,17395,3,"17,2",1,"5,7",1,"5,7",17.24633515377982
Antofagasta,2,Antofagasta,425725,479,"112,5",201,"47,2",201,"47,2",112.51394679664102
Antofagasta,2,Calama,190336,84,"44,1",38,"20,0",37,"19,4",44.1324815063887
Antofagasta,2,María Elena,6814,35,"513,6",24,"352,2",24,"352,2",513.6483710008805
Antofagasta,2,Mejillones,14776,126,"852,7",83,"561,7",83,"561,7",852.734163508392
Antofagasta,2,Ollagüe,287,0,"0,0",0,"0,0",0,"0,0",0.0
Antofagasta,2,San Pedro de Atacama,10434,4,"38,3",0,"0,0",0,"0,0",38.336208548974504
Antofagasta,2,Sierra Gorda,1746,0,"0,0",0,"0,0",0,"0,0",0.0
Antofagasta,2,Taltal,13657,8,"58,6",1,"7,3",1,"7,3",58.578018598520906
Antofagasta,2,Tocopilla,28079,13,"46,3",2,"7,1",2,"7,1",46.29794508351437
Atacama,3,Alto del Carmen,5729,0,"0,0",0,"0,0",0,"0,0",0.0
Atacama,3,Caldera,19426,1,"5,1",1,"5,1",1,"5,1",5.147740142077628
Atacama,3,Chañaral,13164,0,"0,0",0,"0,0",0,"0,0",0.0
