Región,ID_Región,Comuna,Población,Número de Casos Confirmados,Tasa incidencia acumulada,Número de Casos Actuales,Tasa de Incidencia Actual,Número de Casos Activos,Tasa de Incidencia Activos,Confirmados/100kHab
Arica y Parinacota,15,Arica,247552,596,240.8,163,65.8,163,65.8,241
Arica y Parinacota,15,Camarones,1233,0,0,0,0,0,0,0
Arica y Parinacota,15,General Lagos,810,0,0,0,0,0,0,0
Arica y Parinacota,15,Putre,2515,0,0,0,0,0,0,0
Tarapacá,1,Alto Hospicio,129999,744,572.3,253,194.6,252,193.8,572
Tarapacá,1,Camiña,1375,2,145.5,2,145.5,2,145.5,145
Tarapacá,1,Colchane,1583,1,63.2,1,63.2,1,63.2,63
Tarapacá,1,Huara,3000,30,1000,11,366.7,11,366.7,1.000
Tarapacá,1,Iquique,223463,1218,545.1,517,231.4,514,230,545
Tarapacá,1,Pica,5958,45,755.3,7,117.5,7,117.5,755
Tarapacá,1,Pozo Almonte,17395,47,270.2,30,172.5,30,172.5,270
Antofagasta,2,Antofagasta,425725,1395,327.7,241,56.6,239,56.1,328
Antofagasta,2,Calama,190336,415,218,101,53.1,98,51.5,218
Antofagasta,2,María Elena,6814,154,2260.1,17,249.5,17,249.5,2.260
Antofagasta,2,Mejillones,14776,244,1651.3,17,115.1,17,115.1,1.651
Antofagasta,2,Ollagüe,287,0,0,0,0,0,0,0
Antofagasta,2,San Pedro de Atacama,10434,8,76.7,4,38.3,4,38.3,77
Antofagasta,2,Sierra Gorda,1746,13,744.6,0,0,0,0,745
Antofagasta,2,Taltal,13657,26,190.4,4,29.3,4,29.3,190
Antofagasta,2,Tocopilla,28079,30,106.8,5,17.8,5,17.8,107
Atacama,3,Alto del Carmen,5729,0,0,0,0,0,0,0
Atacama,3,Caldera,19426,6,30.9,2,10.3,2,10.3,31
Atacama,3,Chañaral,13164,1,7.6,1,7.6,1,7.6,8
Atacama,3,Copiapó,171766,115,67,32,18.6,32,18.6,67
Atacama,3,Diego de Almagro,14358,12,83.6,8,55.7,8,55.7,84
Atacama,3,Freirina,7681,1,13,0,0,0,0,13
Atacama,3,Huasco,11264,1,8.9,0,0,0,0,9
Atacama,3,Tierra Amarilla,14312,24,167.7,1,7,1,7,168
Atacama,3,Vallenar,57009,50,87.7,5,8.8,5,8.8,88
Coquimbo,4,Andacollo,11791,13,110.3,1,8.5,1,8.5,110
Coquimbo,4,Canela,9546,2,21,0,0,0,0,21
Coquimbo,4,Combarbalá,13884,9,64.8,1,7.2,1,7.2,65
Coquimbo,4,Coquimbo,256735,192,74.8,18,7,17,6.6,75
Coquimbo,4,Illapel,32801,21,64,2,6.1,2,6.1,64
Coquimbo,4,La Higuera,4450,0,0,0,0,0,0,0
Coquimbo,4,La Serena,249656,145,58.1,38,15.2,38,15.2,58
Coquimbo,4,Los Vilos,23374,1,4.3,0,0,0,0,4
Coquimbo,4,Monte Patria,32527,29,89.2,9,27.7,9,27.7,89
Coquimbo,4,Ovalle,121269,97,80,26,21.4,26,21.4,80
Coquimbo,4,Paiguano,4675,0,0,0,0,0,0,0
Coquimbo,4,Punitaqui,12165,13,106.9,2,16.4,2,16.4,107
Coquimbo,4,Río Hurtado,4372,2,45.7,0,0,0,0,46
Coquimbo,4,Salamanca,29110,14,48.1,2,6.9,2,6.9,48
Coquimbo,4,Vicuña,29741,14,47.1,4,13.4,4,13.4,47
Valparaíso,5,Algarrobo,15174,36,237.2,5,33,5,33,237
Valparaíso,5,Cabildo,20663,18,87.1,4,19.4,4,19.4,87
Valparaíso,5,Calera,53591,51,95.2,12,22.4,12,22.4,95
Valparaíso,5,Calle Larga,16482,36,218.4,20,121.3,20,121.3,218
Valparaíso,5,Cartagena,25357,42,165.6,9,35.5,9,35.5,166
Valparaíso,5,Casablanca,29170,23,78.8,7,24,7,24,79
Valparaíso,5,Catemu,15213,10,65.7,2,13.1,2,13.1,66
Valparaíso,5,Concón,45889,49,106.8,6,13.1,6,13.1,107
Valparaíso,5,El Quisco,17742,44,248,13,73.3,13,73.3,248
Valparaíso,5,El Tabo,14338,37,258.1,7,48.8,6,41.8,258
Valparaíso,5,Hijuelas,19099,13,68.1,10,52.4,10,52.4,68
Valparaíso,5,Isla de Pascua,8277,5,60.4,0,0,0,0,60
Valparaíso,5,Juan Fernández,1033,0,0,0,0,0,0,0
Valparaíso,5,La Cruz,25321,26,102.7,3,11.8,3,11.8,103
Valparaíso,5,La Ligua,37739,15,39.7,7,18.5,7,18.5,40
Valparaíso,5,Limache,49931,85,170.2,15,30,15,30,170
Valparaíso,5,Llaillay,26533,53,199.8,25,94.2,25,94.2,200
Valparaíso,5,Los Andes,68093,128,188,56,82.2,56,82.2,188
