Región,ID_Región,Comuna,Población,Número de Casos Confirmados,Tasa incidencia acumulada,Número de Fallecidos,Tasa de mortalidad,Número de Casos Actuales,Tasa de Incidencia Actual,Número de Casos Activos,Tasa de Incidencia Activos,Confirmados/100kHab
Arica y Parinacota,15,Arica,247552.0,1371,553.8,12,4.8,359,145.0,358,144.6,553.8230352
Arica y Parinacota,15,Camarones,1233.0,0,0.0,0,0.0,0,0.0,0,0.0,0.0
Arica y Parinacota,15,General Lagos,810.0,0,0.0,0,0.0,0,0.0,0,0.0,0.0
Arica y Parinacota,15,Putre,2515.0,9,357.9,0,0.0,8,318.1,8,318.1,357.8528827
Desconocido,,-,,2,0.0,0,0.0,0,0.0,0,0.0,
Tarapacá,1,Alto Hospicio,129999.0,1672,1286.2,18,13.8,243,186.9,243,186.9,1286.16374
Tarapacá,1,Camiña,1375.0,16,1163.6,2,145.5,2,145.5,1,72.7,1163.636364
Tarapacá,1,Colchane,1583.0,26,1642.5,2,126.3,15,947.6,14,884.4,1642.451042
Tarapacá,1,Huara,3000.0,55,1833.3,2,66.7,10,333.3,10,333.3,1833.3333329999998
Tarapacá,1,Iquique,223463.0,2698,1207.4,45,20.1,576,257.8,575,257.3,1207.358713
Tarapacá,1,Pica,5958.0,77,1292.4,0,0.0,15,251.8,15,251.8,1292.379993
Tarapacá,1,Pozo Almonte,17395.0,298,1713.1,2,11.5,130,747.3,130,747.3,1713.135959
Desconocido,,-,,258,0.0,0,0.0,44,0.0,44,0.0,
Antofagasta,2,Antofagasta,425725.0,2718,638.4,31,7.3,527,123.8,526,123.6,638.4403077000001
Antofagasta,2,Calama,190336.0,2375,1247.8,50,26.3,752,395.1,746,391.9,1247.793376
Antofagasta,2,María Elena,6814.0,196,2876.4,4,58.7,15,220.1,15,220.1,2876.430878
Antofagasta,2,Mejillones,14776.0,291,1969.4,4,27.1,6,40.6,6,40.6,1969.409854
Antofagasta,2,Ollagüe,287.0,2,696.9,0,0.0,2,696.9,2,696.9,696.8641115
Antofagasta,2,San Pedro de Atacama,10434.0,44,421.7,1,9.6,20,191.7,20,191.7,421.69829400000003
Antofagasta,2,Sierra Gorda,1746.0,42,2405.5,0,0.0,7,400.9,7,400.9,2405.498282
Antofagasta,2,Taltal,13657.0,53,388.1,0,0.0,10,73.2,10,73.2,388.07937319999996
Antofagasta,2,Tocopilla,28079.0,59,210.1,2,7.1,15,53.4,15,53.4,210.1214431
Desconocido,,-,,143,0.0,0,0.0,50,0.0,50,0.0,
Atacama,3,Alto del Carmen,5729.0,5,87.3,0,0.0,3,52.4,3,52.4,87.27526619
Atacama,3,Caldera,19426.0,18,92.7,0,0.0,7,36.0,7,36.0,92.65932256
Atacama,3,Chañaral,13164.0,6,45.6,0,0.0,4,30.4,4,30.4,45.57885141
Atacama,3,Copiapó,171766.0,397,231.1,0,0.0,158,92.0,158,92.0,231.12839559999998
Atacama,3,Diego de Almagro,14358.0,31,215.9,0,0.0,13,90.5,13,90.5,215.907508
Atacama,3,Freirina,7681.0,4,52.1,0,0.0,3,39.1,3,39.1,52.07655253
Atacama,3,Huasco,11264.0,11,97.7,0,0.0,4,35.5,4,35.5,97.65625
Atacama,3,Tierra Amarilla,14312.0,42,293.5,0,0.0,12,83.8,12,83.8,293.4600335
Atacama,3,Vallenar,57009.0,138,242.1,0,0.0,51,89.5,51,89.5,242.067042
Desconocido,,-,,7,0.0,0,0.0,4,0.0,4,0.0,
Coquimbo,4,Andacollo,11791.0,26,220.5,1,8.5,0,0.0,0,0.0,220.5071665
Coquimbo,4,Canela,9546.0,6,62.9,0,0.0,1,10.5,1,10.5,62.85355123
Coquimbo,4,Combarbalá,13884.0,28,201.7,0,0.0,8,57.6,8,57.6,201.6709882
Coquimbo,4,Coquimbo,256735.0,688,268.0,4,1.6,177,68.9,177,68.9,267.9806026
Coquimbo,4,Illapel,32801.0,72,219.5,0,0.0,21,64.0,21,64.0,219.5055029
Coquimbo,4,La Higuera,4450.0,5,112.4,0,0.0,2,44.9,2,44.9,112.3595506
Coquimbo,4,La Serena,249656.0,543,217.5,2,0.8,175,70.1,175,70.1,217.499279
Coquimbo,4,Los Vilos,23374.0,19,81.3,0,0.0,7,29.9,7,29.9,81.28689997
Coquimbo,4,Monte Patria,32527.0,126,387.4,1,3.1,40,123.0,40,123.0,387.3704922
Coquimbo,4,Ovalle,121269.0,588,484.9,6,4.9,204,168.2,203,167.4,484.87247360000003
Coquimbo,4,Paiguano,4675.0,9,192.5,0,0.0,4,85.6,4,85.6,192.51336899999998
Coquimbo,4,Punitaqui,12165.0,38,312.4,2,16.4,7,57.5,7,57.5,312.3715577
Coquimbo,4,Río Hurtado,4372.0,16,366.0,0,0.0,3,68.6,3,68.6,365.9652333
Coquimbo,4,Salamanca,29110.0,49,168.3,0,0.0,7,24.0,7,24.0,168.3270354
Coquimbo,4,Vicuña,29741.0,27,90.8,0,0.0,2,6.7,2,6.7,90.78376652
Desconocido,,-,,112,0.0,0,0.0,73,0.0,73,0.0,
Valparaíso,5,Algarrobo,15174.0,82,540.4,5,33.0,19,125.2,19,125.2,540.3980493
Valparaíso,5,Cabildo,20663.0,75,363.0,0,0.0,24,116.1,24,116.1,362.9676233
Valparaíso,5,Calera,53591.0,185,345.2,2,3.7,58,108.2,56,104.5,345.20721760000004
Valparaíso,5,Calle Larga,16482.0,122,740.2,0,0.0,23,139.5,23,139.5,740.2014319
Valparaíso,5,Cartagena,25357.0,82,323.4,2,7.9,15,59.2,15,59.2,323.38210360000005
Valparaíso,5,Casablanca,29170.0,91,312.0,0,0.0,31,106.3,31,106.3,311.96434689999995
Valparaíso,5,Catemu,15213.0,54,355.0,0,0.0,19,124.9,19,124.9,354.95957400000003
Valparaíso,5,Concón,45889.0,169,368.3,2,4.4,42,91.5,42,91.5,368.27997999999997
Valparaíso,5,El Quisco,17742.0,87,490.4,2,11.3,8,45.1,8,45.1,490.3618532
Valparaíso,5,El Tabo,14338.0,95,662.6,4,27.9,14,97.6,14,97.6,662.5749756
Valparaíso,5,Hijuelas,19099.0,57,298.4,1,5.2,17,89.0,17,89.0,298.44494480000003
Valparaíso,5,Isla de Pascua,8277.0,5,60.4,0,0.0,0,0.0,0,0.0,60.40836052
Valparaíso,5,Juan Fernández,1033.0,0,0.0,0,0.0,0,0.0,0,0.0,0.0
Valparaíso,5,La Cruz,25321.0,69,272.5,1,3.9,14,55.3,14,55.3,272.5010861
Valparaíso,5,La Ligua,37739.0,125,331.2,3,7.9,52,137.8,52,137.8,331.22234289999994
Valparaíso,5,Limache,49931.0,327,654.9,5,10.0,124,248.3,123,246.3,654.9037672000001
Valparaíso,5,Llaillay,26533.0,134,505.0,3,11.3,27,101.8,27,101.8,505.03147019999994
Valparaíso,5,Los Andes,68093.0,483,709.3,10,14.7,118,173.3,116,170.4,709.3240127
Valparaíso,5,Nogales,23490.0,50,212.9,0,0.0,18,76.6,18,76.6,212.8565347
Valparaíso,5,Olmué,19266.0,53,275.1,2,10.4,17,88.2,17,88.2,275.0960241
Valparaíso,5,Panquehue,7633.0,42,550.2,0,0.0,15,196.5,15,196.5,550.2423687
Valparaíso,5,Papudo,6201.0,50,806.3,0,0.0,16,258.0,16,258.0,806.3215610000001
Valparaíso,5,Petorca,10558.0,28,265.2,0,0.0,3,28.4,3,28.4,265.20174280000003
Valparaíso,5,Puchuncaví,20071.0,74,368.7,2,10.0,27,134.5,27,134.5,368.6911464
Valparaíso,5,Putaendo,17645.0,93,527.1,0,0.0,31,175.7,31,175.7,527.0614905
Valparaíso,5,Quillota,97572.0,537,550.4,8,8.2,237,242.9,236,241.9,550.362809
Valparaíso,5,Quilpué,167085.0,636,380.6,4,2.4,172,102.9,172,102.9,380.64458210000004
Valparaíso,5,Quintero,36135.0,212,586.7,4,11.1,53,146.7,53,146.7,586.6888058999999
Valparaíso,5,Rinconada,11263.0,90,799.1,0,0.0,24,213.1,24,213.1,799.0766226
Valparaíso,5,San Antonio,96761.0,749,774.1,18,18.6,99,102.3,98,101.3,774.0721985
Valparaíso,5,San Esteban,20643.0,89,431.1,0,0.0,23,111.4,23,111.4,431.13888489999994
Valparaíso,5,San Felipe,83494.0,609,729.4,9,10.8,212,253.9,211,252.7,729.3937289
Valparaíso,5,Santa María,16367.0,98,598.8,0,0.0,40,244.4,40,244.4,598.7658092999999
Valparaíso,5,Santo Domingo,11934.0,98,821.2,0,0.0,32,268.1,32,268.1,821.1831741000001
Valparaíso,5,Valparaíso,315732.0,1978,626.5,24,7.6,662,209.7,659,208.7,626.4806862
Valparaíso,5,Villa Alemana,139310.0,631,452.9,5,3.6,190,136.4,190,136.4,452.9466657
Valparaíso,5,Viña del Mar,361371.0,1753,485.1,31,8.6,433,119.8,430,119.0,485.09703319999994
Valparaíso,5,Zapallar,7994.0,6,75.1,0,0.0,3,37.5,3,37.5,75.05629222
Desconocido,,-,,433,0.0,0,0.0,158,0.0,158,0.0,
Metropolitana,RM,Alhué,7405.0,52,702.2,1,13.5,24,324.1,24,324.1,702.2282242
Metropolitana,RM,Buin,109641.0,1428,1302.4,32,29.2,317,289.1,313,285.5,1302.432484
Metropolitana,RM,Calera de Tango,28525.0,293,1027.2,1,3.5,78,273.4,78,273.4,1027.16915
Metropolitana,RM,Cerrillos,88956.0,2036,2288.8,31,34.8,383,430.5,381,428.3,2288.771977
Metropolitana,RM,Cerro Navia,142465.0,4313,3027.4,108,75.8,689,483.6,686,481.5,3027.410241
Metropolitana,RM,Colina,180353.0,3335,1849.2,42,23.3,505,280.0,505,280.0,1849.151386
Metropolitana,RM,Conchalí,139195.0,4315,3100.0,106,76.2,615,441.8,611,439.0,3099.967671
Metropolitana,RM,Curacaví,36430.0,584,1603.1,6,16.5,127,348.6,127,348.6,1603.074389
Metropolitana,RM,El Bosque,172000.0,4100,2383.7,80,46.5,839,487.8,833,484.3,2383.72093
Metropolitana,RM,El Monte,40014.0,584,1459.5,13,32.5,139,347.4,135,337.4,1459.489179
Metropolitana,RM,Estación Central,206792.0,4547,2198.8,67,32.4,714,345.3,711,343.8,2198.827808
Metropolitana,RM,Huechuraba,112528.0,2645,2350.5,72,64.0,305,271.0,305,271.0,2350.526091
Metropolitana,RM,Independencia,142065.0,5015,3530.1,144,101.4,524,368.8,518,364.6,3530.0742619999996
Metropolitana,RM,Isla de Maipo,40171.0,362,901.1,12,29.9,70,174.3,69,171.8,901.1475939999999
Metropolitana,RM,La Cisterna,100434.0,2236,2226.3,50,49.8,404,402.3,399,397.3,2226.3376940000003
Metropolitana,RM,La Florida,402433.0,9515,2364.4,198,49.2,1430,355.3,1425,354.1,2364.368727
Metropolitana,RM,La Granja,122557.0,5102,4163.0,102,83.2,788,643.0,786,641.3,4162.960908
Metropolitana,RM,La Pintana,189335.0,6875,3631.1,123,65.0,1118,590.5,1110,586.3,3631.1300079999996
Metropolitana,RM,La Reina,100252.0,1513,1509.2,39,38.9,277,276.3,275,274.3,1509.196824
Metropolitana,RM,Lampa,126898.0,2340,1844.0,25,19.7,416,327.8,415,327.0,1844.000693
Metropolitana,RM,Las Condes,330759.0,4192,1267.4,114,34.5,573,173.2,567,171.4,1267.388038
Metropolitana,RM,Lo Barnechea,124076.0,2177,1754.6,31,25.0,263,212.0,261,210.4,1754.56978
Metropolitana,RM,Lo Espejo,103865.0,2835,2729.5,82,78.9,473,455.4,470,452.5,2729.504645
Metropolitana,RM,Lo Prado,104403.0,3032,2904.1,62,59.4,408,390.8,405,387.9,2904.131107
Metropolitana,RM,Macul,134635.0,3501,2600.4,65,48.3,573,425.6,567,421.1,2600.363947
Metropolitana,RM,Maipú,578605.0,9361,1617.9,155,26.8,1770,305.9,1758,303.8,1617.856742
Metropolitana,RM,María Pinto,14926.0,166,1112.2,1,6.7,25,167.5,25,167.5,1112.15329
Metropolitana,RM,Melipilla,141612.0,2044,1443.4,41,29.0,457,322.7,453,319.9,1443.380504
Metropolitana,RM,Ñuñoa,250192.0,3894,1556.4,100,40.0,647,258.6,641,256.2,1556.404681
Metropolitana,RM,Padre Hurtado,74188.0,1191,1605.4,20,27.0,231,311.4,230,310.0,1605.380924
Metropolitana,RM,Paine,82766.0,971,1173.2,8,9.7,284,343.1,284,343.1,1173.187057
Metropolitana,RM,Pedro Aguirre Cerda,107803.0,2884,2675.3,83,77.0,520,482.4,512,474.9,2675.250225
Metropolitana,RM,Peñaflor,101058.0,1544,1527.8,34,33.6,331,327.5,329,325.6,1527.8355
Metropolitana,RM,Peñalolén,266798.0,8368,3136.5,137,51.3,1233,462.1,1220,457.3,3136.455296
Metropolitana,RM,Pirque,30433.0,725,2382.3,6,19.7,132,433.7,132,433.7,2382.282391
Metropolitana,RM,Providencia,157749.0,2207,1399.1,69,43.7,303,192.1,300,190.2,1399.0579970000001
Metropolitana,RM,Pudahuel,253139.0,6495,2565.8,96,37.9,929,367.0,922,364.2,2565.784016
