Región,ID_Región,Comuna,Población,Número de Casos Confirmados,Tasa incidencia acumulada,Número de Casos Actuales,Tasa de Incidencia Actual,Número de Casos Activos,Tasa de Incidencia Activos,Confirmados/100kHab
Arica y Parinacota,15,Arica,247552,405,163.6,68,27.5,68,27.5,164
Arica y Parinacota,15,Camarones,1233,0,0,0,0,0,0,0
Arica y Parinacota,15,General Lagos,810,0,0,0,0,0,0,0
Arica y Parinacota,15,Putre,2515,0,0,0,0,0,0,0
Tarapacá,1,Alto Hospicio,129999,379,291.5,185,142.3,183,140.8,292
Tarapacá,1,Camiña,1375,0,0,0,0,0,0,0
Tarapacá,1,Colchane,1583,0,0,0,0,0,0,0
Tarapacá,1,Huara,3000,15,500,5,166.7,5,166.7,500
Tarapacá,1,Iquique,223463,610,273,371,166,371,166,273
Tarapacá,1,Pica,5958,39,654.6,4,67.1,4,67.1,655
Tarapacá,1,Pozo Almonte,17395,10,57.5,4,23,4,23,57
Antofagasta,2,Antofagasta,425725,998,234.4,319,74.9,315,74,234
Antofagasta,2,Calama,190336,213,111.9,77,40.5,76,39.9,112
Antofagasta,2,María Elena,6814,112,1643.7,28,410.9,28,410.9,1.644
Antofagasta,2,Mejillones,14776,191,1292.6,43,291,43,291,1.293
Antofagasta,2,Ollagüe,287,0,0,0,0,0,0,0
Antofagasta,2,San Pedro de Atacama,10434,4,38.3,0,0,0,0,38
Antofagasta,2,Sierra Gorda,1746,9,515.5,5,286.4,5,286.4,515
Antofagasta,2,Taltal,13657,17,124.5,7,51.3,7,51.3,124
Antofagasta,2,Tocopilla,28079,24,85.5,8,28.5,8,28.5,85
Atacama,3,Alto del Carmen,5729,0,0,0,0,0,0,0
Atacama,3,Caldera,19426,5,25.7,3,15.4,3,15.4,26
Atacama,3,Chañaral,13164,0,0,0,0,0,0,0
Atacama,3,Copiapó,171766,82,47.7,33,19.2,33,19.2,48
Atacama,3,Diego de Almagro,14358,3,20.9,1,7,1,7,21
Atacama,3,Freirina,7681,1,13,0,0,0,0,13
Atacama,3,Huasco,11264,1,8.9,0,0,0,0,9
Atacama,3,Tierra Amarilla,14312,23,160.7,10,69.9,10,69.9,161
Atacama,3,Vallenar,57009,43,75.4,13,22.8,13,22.8,75
Coquimbo,4,Andacollo,11791,3,25.4,1,8.5,1,8.5,25
Coquimbo,4,Canela,9546,1,10.5,0,0,0,0,10
Coquimbo,4,Combarbalá,13884,5,36,3,21.6,3,21.6,36
Coquimbo,4,Coquimbo,256735,56,21.8,17,6.6,17,6.6,22
Coquimbo,4,Illapel,32801,19,57.9,0,0,0,0,58
Coquimbo,4,La Higuera,4450,0,0,0,0,0,0,0
Coquimbo,4,La Serena,249656,63,25.2,29,11.6,28,11.2,25
Coquimbo,4,Los Vilos,23374,1,4.3,0,0,0,0,4
Coquimbo,4,Monte Patria,32527,4,12.3,3,9.2,3,9.2,12
Coquimbo,4,Ovalle,121269,48,39.6,27,22.3,27,22.3,40
Coquimbo,4,Paiguano,4675,0,0,0,0,0,0,0
Coquimbo,4,Punitaqui,12165,8,65.8,2,16.4,1,8.2,66
Coquimbo,4,Río Hurtado,4372,2,45.7,0,0,0,0,46
Coquimbo,4,Salamanca,29110,10,34.4,0,0,0,0,34
Coquimbo,4,Vicuña,29741,7,23.5,3,10.1,3,10.1,24
Valparaíso,5,Algarrobo,15174,23,151.6,9,59.3,9,59.3,152
Valparaíso,5,Cabildo,20663,9,43.6,1,4.8,1,4.8,44
Valparaíso,5,Calera,53591,31,57.8,6,11.2,6,11.2,58
Valparaíso,5,Calle Larga,16482,12,72.8,2,12.1,2,12.1,73
Valparaíso,5,Cartagena,25357,23,90.7,5,19.7,5,19.7,91
Valparaíso,5,Casablanca,29170,13,44.6,9,30.9,9,30.9,45
Valparaíso,5,Catemu,15213,4,26.3,3,19.7,3,19.7,26
Valparaíso,5,Concón,45889,37,80.6,11,24,11,24,81
Valparaíso,5,El Quisco,17742,26,146.5,9,50.7,9,50.7,147
Valparaíso,5,El Tabo,14338,24,167.4,7,48.8,7,48.8,167
Valparaíso,5,Hijuelas,19099,3,15.7,2,10.5,2,10.5,16
Valparaíso,5,Isla de Pascua,8277,5,60.4,0,0,0,0,60
Valparaíso,5,Juan Fernández,1033,0,0,0,0,0,0,0
Valparaíso,5,La Cruz,25321,22,86.9,6,23.7,6,23.7,87
Valparaíso,5,La Ligua,37739,4,10.6,1,2.6,1,2.6,11
Valparaíso,5,Limache,49931,54,108.1,23,46.1,21,42.1,108
Valparaíso,5,Llaillay,26533,14,52.8,9,33.9,9,33.9,53
Valparaíso,5,Los Andes,68093,35,51.4,18,26.4,18,26.4,51
Valparaíso,5,Nogales,23490,5,21.3,3,12.8,3,12.8,21
Valparaíso,5,Olmué,19266,3,15.6,1,5.2,1,5.2,16
Valparaíso,5,Panquehue,7633,1,13.1,1,13.1,1,13.1,13
Valparaíso,5,Papudo,6201,0,0,0,0,0,0,0
Valparaíso,5,Petorca,10558,7,66.3,1,9.5,1,9.5,66
Valparaíso,5,Puchuncaví,20071,0,0,0,0,0,0,0
Valparaíso,5,Putaendo,17645,15,85,5,28.3,5,28.3,85
Valparaíso,5,Quillota,97572,48,49.2,18,18.4,18,18.4,49
