Región,ID_Región,Comuna,Población,Número de Casos Confirmados,Tasa incidencia acumulada,Número de Fallecidos,Tasa de mortalidad,Número de Casos Actuales,Tasa de Incidencia Actual,Número de Casos Activos,Tasa de Incidencia Activos,Confirmados/100kHab
Arica y Parinacota,15,Arica,247552,1176,475.1,11,4.4,353,142.6,353,142.6,475.05170630000003
Arica y Parinacota,15,Camarones,1233,0,0.0,0,0.0,0,0.0,0,0.0,0.0
Arica y Parinacota,15,General Lagos,810,0,0.0,0,0.0,0,0.0,0,0.0,0.0
Arica y Parinacota,15,Putre,2515,3,119.3,0,0.0,3,119.3,3,119.3,119.2842942
Tarapacá,1,Alto Hospicio,129999,1468,1129.2,15,11.5,247,190.0,247,190.0,1129.239456
Tarapacá,1,Camiña,1375,12,872.7,2,145.5,4,290.9,3,218.2,872.7272727
Tarapacá,1,Colchane,1583,16,1010.7,1,63.2,12,758.1,12,758.1,1010.7391029999999
Tarapacá,1,Huara,3000,41,1366.7,2,66.7,6,200.0,5,166.7,1366.666667
Tarapacá,1,Iquique,223463,2379,1064.6,36,16.1,550,246.1,547,244.8,1064.605774
Tarapacá,1,Pica,5958,67,1124.5,0,0.0,14,235.0,14,235.0,1124.538436
Tarapacá,1,Pozo Almonte,17395,240,1379.7,2,11.5,116,666.9,115,661.1,1379.706812
Antofagasta,2,Antofagasta,425725,2339,549.4,28,6.6,434,101.9,433,101.7,549.4157026
Antofagasta,2,Calama,190336,1532,804.9,34,17.9,374,196.5,370,194.4,804.8924007999999
Antofagasta,2,María Elena,6814,175,2568.2,3,44.0,6,88.1,6,88.1,2568.241855
Antofagasta,2,Mejillones,14776,286,1935.6,4,27.1,5,33.8,5,33.8,1935.571197
Antofagasta,2,Ollagüe,287,2,696.9,0,0.0,2,696.9,2,696.9,696.8641115
Antofagasta,2,San Pedro de Atacama,10434,26,249.2,0,0.0,12,115.0,12,115.0,249.18535559999998
Antofagasta,2,Sierra Gorda,1746,35,2004.6,0,0.0,7,400.9,7,400.9,2004.5819010000002
Antofagasta,2,Taltal,13657,42,307.5,0,0.0,4,29.3,4,29.3,307.53459760000004
Antofagasta,2,Tocopilla,28079,46,163.8,2,7.1,7,24.9,7,24.9,163.823498
