Región,ID_Región,Comuna,Población,Número de Casos Confirmados,Tasa incidencia acumulada,Número de Casos Actuales,Tasa de Incidencia Actual,Número de Casos Activos,Tasa de Incidencia Activos,Confirmados/100kHab
Arica y Parinacota,15,Arica,247552,353,"142,6",66,"26,7",66,"26,7","142,596303"
Arica y Parinacota,15,Camarones,1233,0,0,0,0,0,0,0
Arica y Parinacota,15,General Lagos,810,0,0,0,0,0,0,0
Arica y Parinacota,15,Putre,2515,0,0,0,0,0,0,0
Tarapacá,1,Alto Hospicio,129999,188,"144,6",94,"72,3",94,"72,3","144,616497"
Tarapacá,1,Camiña,1375,0,0,0,0,0,0,0
Tarapacá,1,Colchane,1583,0,0,0,0,0,0,0
Tarapacá,1,Huara,3000,9,300,7,"233,3",7,"233,3",300
Tarapacá,1,Iquique,223463,308,"137,8",206,"92,2",206,"92,2","137,8304238"
Tarapacá,1,Pica,5958,37,621,4,"67,1",4,"67,1","621,013763"
Tarapacá,1,Pozo Almonte,17395,5,"28,7",3,"17,2",3,"17,2","28,74389192"
Antofagasta,2,Antofagasta,425725,658,"154,6",228,"53,6",225,"52,9","154,5598685"
Antofagasta,2,Calama,190336,114,"59,9",33,"17,3",33,"17,3","59,89408204"
Antofagasta,2,María Elena,6814,49,"719,1",21,"308,2",21,"308,2","719,1077194"
Antofagasta,2,Mejillones,14776,150,"1015,2",75,"507,6",75,"507,6","1015,159718"
Antofagasta,2,Ollagüe,287,0,0,0,0,0,0,0
Antofagasta,2,San Pedro de Atacama,10434,4,"38,3",0,0,0,0,"38,33620855"
Antofagasta,2,Sierra Gorda,1746,2,"114,5",2,"114,5",2,"114,5","114,5475372"
Antofagasta,2,Taltal,13657,9,"65,9",1,"7,3",1,"7,3","65,90027092"
Antofagasta,2,Tocopilla,28079,15,"53,4",3,"10,7",3,"10,7","53,42070587"
Atacama,3,Alto del Carmen,5729,0,0,0,0,0,0,0
Atacama,3,Caldera,19426,3,"15,4",3,"15,4",3,"15,4","15,44322043"
Atacama,3,Chañaral,13164,0,0,0,0,0,0,0
Atacama,3,Copiapó,171766,67,39,43,25,43,25,"39,00655543"
Atacama,3,Diego de Almagro,14358,3,"20,9",2,"13,9",2,"13,9","20,89427497"
Atacama,3,Freirina,7681,1,13,0,0,0,0,"13,01913813"
Atacama,3,Huasco,11264,1,"8,9",1,"8,9",1,"8,9","8,877840909"
Atacama,3,Tierra Amarilla,14312,19,"132,8",12,"83,8",12,"83,8","132,7557295"
Atacama,3,Vallenar,57009,41,"71,9",19,"33,3",19,"33,3","71,91846901"
Coquimbo,4,Andacollo,11791,3,"25,4",2,17,2,17,"25,44313459"
Coquimbo,4,Canela,9546,1,"10,5",1,"10,5",1,"10,5","10,47559187"
Coquimbo,4,Combarbalá,13884,2,"14,4",2,"14,4",2,"14,4","14,40507058"
Coquimbo,4,Coquimbo,256735,38,"14,8",11,"4,3",11,"4,3","14,80125421"
Coquimbo,4,Illapel,32801,19,"57,9",1,3,1,3,"57,92506326"
Coquimbo,4,La Higuera,4450,0,0,0,0,0,0,0
Coquimbo,4,La Serena,249656,40,16,18,"7,2",17,"6,8","16,02204634"
Coquimbo,4,Los Vilos,23374,1,"4,3",0,0,0,0,"4,278257893"
Coquimbo,4,Monte Patria,32527,0,0,0,0,0,0,0
Coquimbo,4,Ovalle,121269,24,"19,8",13,"10,7",13,"10,7","19,79071321"
Coquimbo,4,Paiguano,4675,0,0,0,0,0,0,0
Coquimbo,4,Punitaqui,12165,8,"65,8",6,"49,3",6,"49,3","65,76243321"
Coquimbo,4,Río Hurtado,4372,1,"22,9",0,0,0,0,"22,87282708"
Coquimbo,4,Salamanca,29110,10,"34,4",3,"10,3",3,"10,3","34,3524562"
Coquimbo,4,Vicuña,29741,2,"6,7",1,"3,4",1,"3,4","6,724723446"
Valparaíso,5,Algarrobo,15174,14,"92,3",3,"19,8",2,"13,2","92,26308159"
Valparaíso,5,Cabildo,20663,6,29,2,"9,7",2,"9,7","29,03740986"
Valparaíso,5,Calera,53591,25,"46,6",3,"5,6",3,"5,6","46,649624"
Valparaíso,5,Calle Larga,16482,10,"60,7",4,"24,3",4,"24,3","60,67224851"
Valparaíso,5,Cartagena,25357,15,"59,2",5,"19,7",5,"19,7","59,15526285"
Valparaíso,5,Casablanca,29170,4,"13,7",1,"3,4",1,"3,4","13,71271855"
Valparaíso,5,Catemu,15213,2,"13,1",1,"6,6",1,"6,6","13,14665089"
Valparaíso,5,Concón,45889,25,"54,5",5,"10,9",5,"10,9","54,47928698"
Valparaíso,5,El Quisco,17742,18,"101,5",7,"39,5",7,"39,5","101,4541765"
Valparaíso,5,El Tabo,14338,16,"111,6",3,"20,9",3,"20,9","111,5915748"
