Región,ID_Región,Comuna,Población,Número de Casos Confirmados,Tasa incidencia acumulada,Número de Casos Actuales,Tasa de Incidencia Actual,Número de Casos Activos,Tasa de Incidencia Activos,Confirmados/100kHab
Arica y Parinacota,15,Arica,247552,653,263.8,177,71.5,177,71.5,264
Arica y Parinacota,15,Camarones,1233,0,0,0,0,0,0,0
Arica y Parinacota,15,General Lagos,810,0,0,0,0,0,0,0
Arica y Parinacota,15,Putre,2515,0,0,0,0,0,0,0
Tarapacá,1,Alto Hospicio,129999,919,706.9,300,230.8,297,228.5,707
Tarapacá,1,Camiña,1375,4,290.9,3,218.2,3,218.2,291
Tarapacá,1,Colchane,1583,1,63.2,1,63.2,1,63.2,63
Tarapacá,1,Huara,3000,31,1033.3,9,300,9,300,1.033
Tarapacá,1,Iquique,223463,1447,647.5,536,239.9,532,238.1,648
Tarapacá,1,Pica,5958,51,856,12,201.4,12,201.4,856
Tarapacá,1,Pozo Almonte,17395,69,396.7,46,264.4,46,264.4,397
Antofagasta,2,Antofagasta,425725,1550,364.1,273,64.1,271,63.7,364
Antofagasta,2,Calama,190336,486,255.3,55,28.9,55,28.9,255
Antofagasta,2,María Elena,6814,157,2304.1,11,161.4,11,161.4,2.304
Antofagasta,2,Mejillones,14776,262,1773.1,13,88,12,81.2,1.773
Antofagasta,2,Ollagüe,287,0,0,0,0,0,0,0
Antofagasta,2,San Pedro de Atacama,10434,8,76.7,3,28.8,3,28.8,77
Antofagasta,2,Sierra Gorda,1746,14,801.8,1,57.3,1,57.3,802
Antofagasta,2,Taltal,13657,33,241.6,8,58.6,8,58.6,242
Antofagasta,2,Tocopilla,28079,32,114,2,7.1,2,7.1,114
Atacama,3,Alto del Carmen,5729,0,0,0,0,0,0,0
Atacama,3,Caldera,19426,7,36,2,10.3,2,10.3,36
Atacama,3,Chañaral,13164,1,7.6,1,7.6,1,7.6,8
Atacama,3,Copiapó,171766,135,78.6,46,26.8,46,26.8,79
Atacama,3,Diego de Almagro,14358,12,83.6,5,34.8,5,34.8,84
Atacama,3,Freirina,7681,1,13,0,0,0,0,13
Atacama,3,Huasco,11264,1,8.9,0,0,0,0,9
Atacama,3,Tierra Amarilla,14312,24,167.7,1,7,1,7,168
Atacama,3,Vallenar,57009,56,98.2,10,17.5,10,17.5,98
Coquimbo,4,Andacollo,11791,13,110.3,1,8.5,1,8.5,110
Coquimbo,4,Canela,9546,2,21,0,0,0,0,21
Coquimbo,4,Combarbalá,13884,14,100.8,3,21.6,3,21.6,101
Coquimbo,4,Coquimbo,256735,202,78.7,17,6.6,16,6.2,79
Coquimbo,4,Illapel,32801,25,76.2,5,15.2,5,15.2,76
Coquimbo,4,La Higuera,4450,1,22.5,1,22.5,1,22.5,22
Coquimbo,4,La Serena,249656,186,74.5,60,24,60,24,75
Coquimbo,4,Los Vilos,23374,4,17.1,2,8.6,2,8.6,17
Coquimbo,4,Monte Patria,32527,43,132.2,20,61.5,20,61.5,132
Coquimbo,4,Ovalle,121269,137,113,50,41.2,50,41.2,113
Coquimbo,4,Paiguano,4675,2,42.8,2,42.8,2,42.8,43
Coquimbo,4,Punitaqui,12165,14,115.1,3,24.7,3,24.7,115
Coquimbo,4,Río Hurtado,4372,5,114.4,3,68.6,3,68.6,114
Coquimbo,4,Salamanca,29110,19,65.3,6,20.6,6,20.6,65
Coquimbo,4,Vicuña,29741,14,47.1,2,6.7,2,6.7,47
Valparaíso,5,Algarrobo,15174,42,276.8,8,52.7,8,52.7,277
Valparaíso,5,Cabildo,20663,18,87.1,3,14.5,3,14.5,87
Valparaíso,5,Calera,53591,64,119.4,16,29.9,16,29.9,119
Valparaíso,5,Calle Larga,16482,44,267,17,103.1,17,103.1,267
Valparaíso,5,Cartagena,25357,46,181.4,10,39.4,10,39.4,181
Valparaíso,5,Casablanca,29170,26,89.1,5,17.1,5,17.1,89
Valparaíso,5,Catemu,15213,10,65.7,2,13.1,2,13.1,66
Valparaíso,5,Concón,45889,66,143.8,15,32.7,15,32.7,144
Valparaíso,5,El Quisco,17742,51,287.5,12,67.6,12,67.6,287
Valparaíso,5,El Tabo,14338,41,286,10,69.7,9,62.8,286
Valparaíso,5,Hijuelas,19099,18,94.2,10,52.4,10,52.4,94
Valparaíso,5,Isla de Pascua,8277,5,60.4,0,0,0,0,60
Valparaíso,5,Juan Fernández,1033,0,0,0,0,0,0,0
Valparaíso,5,La Cruz,25321,28,110.6,2,7.9,2,7.9,111
Valparaíso,5,La Ligua,37739,15,39.7,4,10.6,4,10.6,40
Valparaíso,5,Limache,49931,94,188.3,12,24,12,24,188
Valparaíso,5,Llaillay,26533,54,203.5,14,52.8,14,52.8,204
Valparaíso,5,Los Andes,68093,146,214.4,49,72,49,72,214
Valparaíso,5,Nogales,23490,16,68.1,4,17,4,17,68
Valparaíso,5,Olmué,19266,17,88.2,8,41.5,8,41.5,88
Valparaíso,5,Panquehue,7633,8,104.8,1,13.1,1,13.1,105
Valparaíso,5,Papudo,6201,7,112.9,2,32.3,2,32.3,113
Valparaíso,5,Petorca,10558,15,142.1,2,18.9,2,18.9,142
Valparaíso,5,Puchuncaví,20071,15,74.7,3,14.9,3,14.9,75
Valparaíso,5,Putaendo,17645,26,147.4,4,22.7,4,22.7,147
Valparaíso,5,Quillota,97572,80,82,15,15.4,15,15.4,82
Valparaíso,5,Quilpué,167085,226,135.3,47,28.1,47,28.1,135
Valparaíso,5,Quintero,36135,79,218.6,22,60.9,20,55.3,219
Valparaíso,5,Rinconada,11263,34,301.9,16,142.1,16,142.1,302
Valparaíso,5,San Antonio,96761,389,402,74,76.5,74,76.5,402
Valparaíso,5,San Esteban,20643,20,96.9,4,19.4,4,19.4,97
Valparaíso,5,San Felipe,83494,129,154.5,40,47.9,40,47.9,155
Valparaíso,5,Santa María,16367,30,183.3,4,24.4,4,24.4,183
Valparaíso,5,Santo Domingo,11934,41,343.6,2,16.8,2,16.8,344
Valparaíso,5,Valparaíso,315732,593,187.8,153,48.5,153,48.5,188
Valparaíso,5,Villa Alemana,139310,172,123.5,33,23.7,33,23.7,123
Valparaíso,5,Viña del Mar,361371,724,200.3,188,52,186,51.5,200
Valparaíso,5,Zapallar,7994,3,37.5,0,0,0,0,38
Metropolitana,RM,Alhué,7405,7,94.5,1,13.5,1,13.5,95
Metropolitana,RM,Buin,109641,540,492.5,109,99.4,108,98.5,493
Metropolitana,RM,Calera de Tango,28525,93,326,26,91.1,26,91.1,326
Metropolitana,RM,Cerrillos,88956,994,1117.4,186,209.1,186,209.1,1.117
Metropolitana,RM,Cerro Navia,142465,1596,1120.3,222,155.8,221,155.1,1.120
Metropolitana,RM,Colina,180353,1451,804.5,382,211.8,377,209,805
Metropolitana,RM,Conchalí,139195,2010,1444,298,214.1,294,211.2,1.444
Metropolitana,RM,Curacaví,36430,272,746.6,122,334.9,122,334.9,747
Metropolitana,RM,El Bosque,172000,1654,961.6,312,181.4,310,180.2,962
Metropolitana,RM,El Monte,40014,152,379.9,35,87.5,35,87.5,380
Metropolitana,RM,Estación Central,206792,2305,1114.6,441,213.3,439,212.3,1.115
Metropolitana,RM,Huechuraba,112528,1285,1141.9,201,178.6,200,177.7,1.142
Metropolitana,RM,Independencia,142065,2923,2057.5,488,343.5,482,339.3,2.058
Metropolitana,RM,Isla de Maipo,40171,88,219.1,21,52.3,20,49.8,219
Metropolitana,RM,La Cisterna,100434,1012,1007.6,228,227,225,224,1.008
Metropolitana,RM,La Florida,402433,4550,1130.6,1089,270.6,1082,268.9,1.131
Metropolitana,RM,La Granja,122557,2622,2139.4,705,575.2,702,572.8,2.139
Metropolitana,RM,La Pintana,189335,2861,1511.1,754,398.2,752,397.2,1.511
Metropolitana,RM,La Reina,100252,735,733.2,190,189.5,188,187.5,733
Metropolitana,RM,Lampa,126898,989,779.4,198,156,198,156,779
Metropolitana,RM,Las Condes,330759,2436,736.5,647,195.6,643,194.4,736
Metropolitana,RM,Lo Barnechea,124076,1179,950.2,261,210.4,261,210.4,950
Metropolitana,RM,Lo Espejo,103865,1295,1246.8,254,244.5,245,235.9,1.247
Metropolitana,RM,Lo Prado,104403,1129,1081.4,150,143.7,148,141.8,1.081
Metropolitana,RM,Macul,134635,1684,1250.8,407,302.3,403,299.3,1.251
Metropolitana,RM,Maipú,578605,3765,650.7,934,161.4,929,160.6,651
Metropolitana,RM,María Pinto,14926,50,335,11,73.7,11,73.7,335
Metropolitana,RM,Melipilla,141612,693,489.4,271,191.4,269,190,489
Metropolitana,RM,Ñuñoa,250192,1940,775.4,560,223.8,556,222.2,775
Metropolitana,RM,Padre Hurtado,74188,378,509.5,69,93,67,90.3,510
Metropolitana,RM,Paine,82766,273,329.8,64,77.3,64,77.3,330
Metropolitana,RM,Pedro Aguirre Cerda,107803,1314,1218.9,217,201.3,210,194.8,1.219
Metropolitana,RM,Peñaflor,101058,446,441.3,92,91,89,88.1,441
Metropolitana,RM,Peñalolén,266798,4207,1576.8,1202,450.5,1197,448.7,1.577
Metropolitana,RM,Pirque,30433,289,949.6,106,348.3,106,348.3,950
Metropolitana,RM,Providencia,157749,1201,761.3,338,214.3,336,213,761
Metropolitana,RM,Pudahuel,253139,2288,903.9,374,147.7,370,146.2,904
Metropolitana,RM,Puente Alto,645909,6698,1037,1455,225.3,1451,224.6,1.037
Metropolitana,RM,Quilicura,254694,3091,1213.6,531,208.5,531,208.5,1.214
Metropolitana,RM,Quinta Normal,136368,1548,1135.2,204,149.6,200,146.7,1.135
Metropolitana,RM,Recoleta,190075,3623,1906.1,486,255.7,480,252.5,1.906
Metropolitana,RM,Renca,160847,1675,1041.4,253,157.3,251,156,1.041
Metropolitana,RM,San Bernardo,334836,2877,859.2,620,185.2,612,182.8,859
Metropolitana,RM,San Joaquín,103485,1874,1810.9,298,288,295,285.1,1.811
Metropolitana,RM,San José de Maipo,18644,222,1190.7,88,472,86,461.3,1.191
Metropolitana,RM,San Miguel,133059,1687,1267.9,373,280.3,371,278.8,1.268
Metropolitana,RM,San Pedro,11953,37,309.5,2,16.7,2,16.7,310
Metropolitana,RM,San Ramón,86510,1698,1962.8,297,343.3,297,343.3,1.963
Metropolitana,RM,Santiago,503147,6278,1247.7,1157,230,1148,228.2,1.248
Metropolitana,RM,Talagante,81838,276,337.3,64,78.2,64,78.2,337
Metropolitana,RM,Tiltil,21477,121,563.4,34,158.3,34,158.3,563
Metropolitana,RM,Vitacura,96774,712,735.7,156,161.2,155,160.2,736
O’Higgins,6,Chépica,15925,8,50.2,1,6.3,1,6.3,50
O’Higgins,6,Chimbarongo,37696,19,50.4,2,5.3,2,5.3,50
O’Higgins,6,Codegua,14096,9,63.8,3,21.3,3,21.3,64
O’Higgins,6,Coinco,7831,14,178.8,1,12.8,1,12.8,179
O’Higgins,6,Coltauco,21263,25,117.6,1,4.7,1,4.7,118
O’Higgins,6,Doñihue,22700,32,141,5,22,5,22,141
O’Higgins,6,Graneros,36504,45,123.3,5,13.7,5,13.7,123
O’Higgins,6,La Estrella,3114,0,0,0,0,0,0,0
O’Higgins,6,Las Cabras,26749,15,56.1,2,7.5,2,7.5,56
O’Higgins,6,Litueche,6765,11,162.6,0,0,0,0,163
O’Higgins,6,Lolol,7289,3,41.2,0,0,0,0,41
O’Higgins,6,Machalí,59913,49,81.8,9,15,9,15,82
O’Higgins,6,Malloa,14163,4,28.2,1,7.1,1,7.1,28
O’Higgins,6,Marchihue,7632,0,0,0,0,0,0,0
O’Higgins,6,Mostazal,27462,16,58.3,4,14.6,4,14.6,58
O’Higgins,6,Nancagua,19141,13,67.9,2,10.4,1,5.2,68
O’Higgins,6,Navidad,6904,11,159.3,0,0,0,0,159
O’Higgins,6,Olivar,14624,20,136.8,4,27.4,4,27.4,137
O’Higgins,6,Palmilla,13299,3,22.6,1,7.5,1,7.5,23
O’Higgins,6,Paredones,6349,2,31.5,0,0,0,0,32
O’Higgins,6,Peralillo,11848,3,25.3,1,8.4,1,8.4,25
O’Higgins,6,Peumo,14952,7,46.8,0,0,0,0,47
O’Higgins,6,Pichidegua,20743,11,53,0,0,0,0,53
O’Higgins,6,Pichilemu,17882,9,50.3,1,5.6,1,5.6,50
O’Higgins,6,Placilla,9164,7,76.4,1,10.9,1,10.9,76
O’Higgins,6,Pumanque,3531,1,28.3,1,28.3,1,28.3,28
O’Higgins,6,Quinta de Tilcoco,13877,2,14.4,0,0,0,0,14
