Región,ID_Región,Comuna,Población,Número de Casos Confirmados,Tasa incidencia acumulada,Número de Casos Actuales,Tasa de Incidencia Actual,Número de Casos Activos,Tasa de Incidencia Activos,Confirmados/100kHab
Arica y Parinacota,15,Arica,247552,477,192.7,117,47.3,117,47.3,193
Arica y Parinacota,15,Camarones,1233,0,0,0,0,0,0,0
Arica y Parinacota,15,General Lagos,810,0,0,0,0,0,0,0
Arica y Parinacota,15,Putre,2515,0,0,0,0,0,0,0
Tarapacá,1,Alto Hospicio,129999,504,387.7,247,190,246,189.2,388
Tarapacá,1,Camiña,1375,0,0,0,0,0,0,0
Tarapacá,1,Colchane,1583,0,0,0,0,0,0,0
Tarapacá,1,Huara,3000,18,600,7,233.3,7,233.3,600
Tarapacá,1,Iquique,223463,812,363.4,420,188,419,187.5,363
Tarapacá,1,Pica,5958,37,621,1,16.8,1,16.8,621
Tarapacá,1,Pozo Almonte,17395,20,115,13,74.7,13,74.7,115
Antofagasta,2,Antofagasta,425725,1140,267.8,299,70.2,296,69.5,268
Antofagasta,2,Calama,190336,254,133.4,76,39.9,76,39.9,133
Antofagasta,2,María Elena,6814,132,1937.2,25,366.9,25,366.9,1.937
Antofagasta,2,Mejillones,14776,226,1529.5,45,304.5,45,304.5,1.530
Antofagasta,2,Ollagüe,287,0,0,0,0,0,0,0
Antofagasta,2,San Pedro de Atacama,10434,5,47.9,1,9.6,1,9.6,48
Antofagasta,2,Sierra Gorda,1746,11,630,4,229.1,4,229.1,630
Antofagasta,2,Taltal,13657,23,168.4,12,87.9,12,87.9,168
Antofagasta,2,Tocopilla,28079,25,89,6,21.4,6,21.4,89
Atacama,3,Alto del Carmen,5729,0,0,0,0,0,0,0
Atacama,3,Caldera,19426,5,25.7,3,15.4,3,15.4,26
Atacama,3,Chañaral,13164,0,0,0,0,0,0,0
Atacama,3,Copiapó,171766,96,55.9,34,19.8,34,19.8,56
Atacama,3,Diego de Almagro,14358,5,34.8,2,13.9,2,13.9,35
Atacama,3,Freirina,7681,1,13,0,0,0,0,13
Atacama,3,Huasco,11264,1,8.9,0,0,0,0,9
Atacama,3,Tierra Amarilla,14312,23,160.7,5,34.9,5,34.9,161
Atacama,3,Vallenar,57009,46,80.7,5,8.8,5,8.8,81
Coquimbo,4,Andacollo,11791,4,33.9,0,0,0,0,34
Coquimbo,4,Canela,9546,2,21,1,10.5,1,10.5,21
Coquimbo,4,Combarbalá,13884,6,43.2,3,21.6,3,21.6,43
Coquimbo,4,Coquimbo,256735,67,26.1,11,4.3,11,4.3,26
Coquimbo,4,Illapel,32801,19,57.9,0,0,0,0,58
Coquimbo,4,La Higuera,4450,0,0,0,0,0,0,0
Coquimbo,4,La Serena,249656,89,35.6,41,16.4,41,16.4,36
Coquimbo,4,Los Vilos,23374,1,4.3,0,0,0,0,4
Coquimbo,4,Monte Patria,32527,17,52.3,13,40,13,40,52
Coquimbo,4,Ovalle,121269,59,48.7,24,19.8,24,19.8,49
Coquimbo,4,Paiguano,4675,0,0,0,0,0,0,0
Coquimbo,4,Punitaqui,12165,10,82.2,0,0,0,0,82
Coquimbo,4,Río Hurtado,4372,2,45.7,0,0,0,0,46
Coquimbo,4,Salamanca,29110,11,37.8,1,3.4,1,3.4,38
