Región,ID_Región,Comuna,Población,Número de Casos Confirmados,Tasa incidencia acumulada,Número de Casos Actuales,Tasa de Incidencia Actual,Número de Casos Activos,Tasa de Incidencia Activos,Confirmados/100kHab
Arica y Parinacota,15,Arica,247552,371,149.9,49,19.8,49,19.8,150
Arica y Parinacota,15,Camarones,1233,0,0,0,0,0,0,0
Arica y Parinacota,15,General Lagos,810,0,0,0,0,0,0,0
Arica y Parinacota,15,Putre,2515,0,0,0,0,0,0,0
Tarapacá,1,Alto Hospicio,129999,276,212.3,119,91.5,118,90.8,212
Tarapacá,1,Camiña,1375,0,0,0,0,0,0,0
Tarapacá,1,Colchane,1583,0,0,0,0,0,0,0
Tarapacá,1,Huara,3000,13,433.3,7,233.3,7,233.3,433
Tarapacá,1,Iquique,223463,440,196.9,293,131.1,293,131.1,197
Tarapacá,1,Pica,5958,37,621,4,67.1,4,67.1,621
Tarapacá,1,Pozo Almonte,17395,7,40.2,3,17.2,3,17.2,40
Antofagasta,2,Antofagasta,425725,843,198,300,70.5,296,69.5,198
Antofagasta,2,Calama,190336,168,88.3,57,29.9,57,29.9,88
Antofagasta,2,María Elena,6814,84,1232.8,31,454.9,31,454.9,1.233
Antofagasta,2,Mejillones,14776,174,1177.6,41,277.5,41,277.5,1.178
Antofagasta,2,Ollagüe,287,0,0,0,0,0,0,0
Antofagasta,2,San Pedro de Atacama,10434,4,38.3,0,0,0,0,38
Antofagasta,2,Sierra Gorda,1746,7,400.9,5,286.4,5,286.4,401
Antofagasta,2,Taltal,13657,16,117.2,8,58.6,8,58.6,117
Antofagasta,2,Tocopilla,28079,19,67.7,6,21.4,6,21.4,68
Atacama,3,Alto del Carmen,5729,0,0,0,0,0,0,0
Atacama,3,Caldera,19426,4,20.6,3,15.4,3,15.4,21
Atacama,3,Chañaral,13164,0,0,0,0,0,0,0
Atacama,3,Copiapó,171766,71,41.3,36,21,36,21,41
Atacama,3,Diego de Almagro,14358,3,20.9,1,7,1,7,21
Atacama,3,Freirina,7681,1,13,0,0,0,0,13
Atacama,3,Huasco,11264,1,8.9,0,0,0,0,9
