Región,ID_Región,Comuna,Población,Número de Casos Confirmados,Tasa incidencia acumulada,Número de Fallecidos,Tasa de mortalidad,Número de Casos Actuales,Tasa de Incidencia Actual,Número de Casos Activos,Tasa de Incidencia Activos,Confirmados/100kHab
Arica y Parinacota,15,Arica,247552,1046,422.5,10,4.0,328,132.5,328,132.5,422.5374871
Arica y Parinacota,15,Camarones,1233,0,0.0,0,0.0,0,0.0,0,0.0,0.0
Arica y Parinacota,15,General Lagos,810,0,0.0,0,0.0,0,0.0,0,0.0,0.0
Arica y Parinacota,15,Putre,2515,2,79.5,0,0.0,2,79.5,2,79.5,79.52286282
Tarapacá,1,Alto Hospicio,129999,1345,1034.6,11,8.5,235,180.8,235,180.8,1034.623343
Tarapacá,1,Camiña,1375,10,727.3,1,72.7,4,290.9,4,290.9,727.2727272999999
Tarapacá,1,Colchane,1583,10,631.7,1,63.2,8,505.4,8,505.4,631.7119393999999
Tarapacá,1,Huara,3000,40,1333.3,2,66.7,6,200.0,5,166.7,1333.333333
Tarapacá,1,Iquique,223463,2142,958.5,32,14.3,478,213.9,474,212.1,958.5479475
Tarapacá,1,Pica,5958,60,1007.0,0,0.0,8,134.3,8,134.3,1007.0493449999999
Tarapacá,1,Pozo Almonte,17395,192,1103.8,1,5.7,98,563.4,97,557.6,1103.76545
Antofagasta,2,Antofagasta,425725,2106,494.7,27,6.3,351,82.4,349,82.0,494.6855364
Antofagasta,2,Calama,190336,1138,597.9,29,15.2,225,118.2,221,116.1,597.8900471
Antofagasta,2,María Elena,6814,172,2524.2,3,44.0,6,88.1,6,88.1,2524.214852
Antofagasta,2,Mejillones,14776,280,1895.0,4,27.1,1,6.8,1,6.8,1894.9648079999997
Antofagasta,2,Ollagüe,287,0,0.0,0,0.0,0,0.0,0,0.0,0.0
Antofagasta,2,San Pedro de Atacama,10434,14,134.2,0,0.0,2,19.2,2,19.2,134.1767299
Antofagasta,2,Sierra Gorda,1746,26,1489.1,0,0.0,7,400.9,7,400.9,1489.117984
Antofagasta,2,Taltal,13657,41,300.2,0,0.0,6,43.9,6,43.9,300.21234530000004
Antofagasta,2,Tocopilla,28079,44,156.7,1,3.6,5,17.8,5,17.8,156.7007372
Atacama,3,Alto del Carmen,5729,2,34.9,0,0.0,1,17.5,1,17.5,34.91010648
Atacama,3,Caldera,19426,13,66.9,0,0.0,4,20.6,4,20.6,66.92062185
Atacama,3,Chañaral,13164,3,22.8,0,0.0,2,15.2,2,15.2,22.78942571
Atacama,3,Copiapó,171766,259,150.8,0,0.0,111,64.6,111,64.6,150.7865352
Atacama,3,Diego de Almagro,14358,19,132.3,0,0.0,4,27.9,3,20.9,132.3304081
Atacama,3,Freirina,7681,2,26.0,0,0.0,1,13.0,1,13.0,26.03827627
Atacama,3,Huasco,11264,8,71.0,0,0.0,7,62.1,7,62.1,71.02272727
Atacama,3,Tierra Amarilla,14312,30,209.6,0,0.0,6,41.9,6,41.9,209.61430969999998
Atacama,3,Vallenar,57009,84,147.3,0,0.0,27,47.4,27,47.4,147.345156
Coquimbo,4,Andacollo,11791,25,212.0,1,8.5,6,50.9,6,50.9,212.0261216
Coquimbo,4,Canela,9546,6,62.9,0,0.0,2,21.0,2,21.0,62.85355123
Coquimbo,4,Combarbalá,13884,20,144.1,0,0.0,4,28.8,4,28.8,144.05070580000003
Coquimbo,4,Coquimbo,256735,470,183.1,3,1.2,102,39.7,102,39.7,183.06814419999998
Coquimbo,4,Illapel,32801,53,161.6,0,0.0,20,61.0,20,61.0,161.5804396
Coquimbo,4,La Higuera,4450,3,67.4,0,0.0,2,44.9,2,44.9,67.41573034
Coquimbo,4,La Serena,249656,350,140.2,2,0.8,93,37.3,93,37.3,140.1929054
Coquimbo,4,Los Vilos,23374,11,47.1,0,0.0,3,12.8,3,12.8,47.06083683
Coquimbo,4,Monte Patria,32527,82,252.1,1,3.1,18,55.3,17,52.3,252.0982568
Coquimbo,4,Ovalle,121269,329,271.3,1,0.8,108,89.1,108,89.1,271.2976936
Coquimbo,4,Paiguano,4675,4,85.6,0,0.0,0,0.0,0,0.0,85.56149733
Coquimbo,4,Punitaqui,12165,31,254.8,1,8.2,10,82.2,10,82.2,254.8294287
Coquimbo,4,Río Hurtado,4372,13,297.3,0,0.0,6,137.2,6,137.2,297.3467521
Coquimbo,4,Salamanca,29110,42,144.3,0,0.0,15,51.5,15,51.5,144.280316
Coquimbo,4,Vicuña,29741,21,70.6,0,0.0,2,6.7,2,6.7,70.60959618
Valparaíso,5,Algarrobo,15174,67,441.5,5,33.0,17,112.0,17,112.0,441.5447476
Valparaíso,5,Cabildo,20663,36,174.2,0,0.0,7,33.9,7,33.9,174.22445919999998
Valparaíso,5,Calera,53591,112,209.0,0,0.0,33,61.6,33,61.6,208.9903155
Valparaíso,5,Calle Larga,16482,90,546.1,0,0.0,23,139.5,23,139.5,546.0502366000001
Valparaíso,5,Cartagena,25357,66,260.3,2,7.9,13,51.3,13,51.3,260.2831565
Valparaíso,5,Casablanca,29170,58,198.8,0,0.0,21,72.0,21,72.0,198.8344189
Valparaíso,5,Catemu,15213,38,249.8,0,0.0,14,92.0,14,92.0,249.78636690000002
Valparaíso,5,Concón,45889,105,228.8,2,4.4,26,56.7,26,56.7,228.81300530000004
Valparaíso,5,El Quisco,17742,82,462.2,2,11.3,14,78.9,14,78.9,462.1801375
Valparaíso,5,El Tabo,14338,72,502.2,3,20.9,14,97.6,14,97.6,502.1620868
Valparaíso,5,Hijuelas,19099,38,199.0,1,5.2,7,36.7,7,36.7,198.9632965
Valparaíso,5,Isla de Pascua,8277,5,60.4,0,0.0,0,0.0,0,0.0,60.40836052
Valparaíso,5,Juan Fernández,1033,0,0.0,0,0.0,0,0.0,0,0.0,0.0
Valparaíso,5,La Cruz,25321,49,193.5,1,3.9,10,39.5,10,39.5,193.515264
Valparaíso,5,La Ligua,37739,50,132.5,2,5.3,10,26.5,10,26.5,132.4889372
Valparaíso,5,Limache,49931,179,358.5,4,8.0,55,110.2,55,110.2,358.4947227
Valparaíso,5,Llaillay,26533,98,369.4,3,11.3,24,90.5,22,82.9,369.3513738
Valparaíso,5,Los Andes,68093,323,474.4,4,5.9,98,143.9,94,138.0,474.35125489999996
Valparaíso,5,Nogales,23490,28,119.2,0,0.0,5,21.3,5,21.3,119.1996594
Valparaíso,5,Olmué,19266,28,145.3,2,10.4,5,26.0,5,26.0,145.3337486
Valparaíso,5,Panquehue,7633,20,262.0,0,0.0,5,65.5,5,65.5,262.0201756
Valparaíso,5,Papudo,6201,17,274.1,0,0.0,3,48.4,3,48.4,274.14933080000003
Valparaíso,5,Petorca,10558,23,217.8,0,0.0,7,66.3,7,66.3,217.84428870000002
Valparaíso,5,Puchuncaví,20071,35,174.4,1,5.0,14,69.8,14,69.8,174.3809476
Valparaíso,5,Putaendo,17645,63,357.0,0,0.0,27,153.0,27,153.0,357.04165489999997
Valparaíso,5,Quillota,97572,214,219.3,6,6.1,85,87.1,84,86.1,219.32521630000002
Valparaíso,5,Quilpué,167085,368,220.2,4,2.4,60,35.9,60,35.9,220.2471796
Valparaíso,5,Quintero,36135,148,409.6,4,11.1,29,80.3,27,74.7,409.5752041
Valparaíso,5,Rinconada,11263,67,594.9,0,0.0,19,168.7,19,168.7,594.8681524
Valparaíso,5,San Antonio,96761,616,636.6,16,16.5,125,129.2,125,129.2,636.6201259
Valparaíso,5,San Esteban,20643,53,256.7,0,0.0,20,96.9,20,96.9,256.7456281
Valparaíso,5,San Felipe,83494,356,426.4,6,7.2,133,159.3,132,158.1,426.3779433
Valparaíso,5,Santa María,16367,59,360.5,0,0.0,21,128.3,21,128.3,360.4814566
Valparaíso,5,Santo Domingo,11934,78,653.6,0,0.0,24,201.1,24,201.1,653.5947712000001
Valparaíso,5,Valparaíso,315732,1114,352.8,20,6.3,296,93.8,296,93.8,352.83088189999995
Valparaíso,5,Villa Alemana,139310,326,234.0,3,2.2,72,51.7,70,50.2,234.01048019999996
Valparaíso,5,Viña del Mar,361371,1168,323.2,23,6.4,254,70.3,252,69.7,323.2135395
Valparaíso,5,Zapallar,7994,3,37.5,0,0.0,0,0.0,0,0.0,37.52814611
Metropolitana,RM,Alhué,7405,16,216.1,0,0.0,5,67.5,5,67.5,216.0702228
Metropolitana,RM,Buin,109641,978,892.0,24,21.9,216,197.0,215,196.1,892.0020795
Metropolitana,RM,Calera de Tango,28525,186,652.1,0,0.0,47,164.8,46,161.3,652.0595967999999
Metropolitana,RM,Cerrillos,88956,1410,1585.1,19,21.4,172,193.4,171,192.2,1585.053285
Metropolitana,RM,Cerro Navia,142465,2576,1808.2,77,54.0,316,221.8,312,219.0,1808.163409
Metropolitana,RM,Colina,180353,2267,1257.0,31,17.2,418,231.8,416,230.7,1256.979368
Metropolitana,RM,Conchalí,139195,2855,2051.1,69,49.6,371,266.5,367,263.7,2051.079421
Metropolitana,RM,Curacaví,36430,444,1218.8,4,11.0,108,296.5,108,296.5,1218.775734
Metropolitana,RM,El Bosque,172000,2784,1618.6,47,27.3,522,303.5,517,300.6,1618.6046509999999
Metropolitana,RM,El Monte,40014,317,792.2,6,15.0,56,140.0,56,140.0,792.222722
Metropolitana,RM,Estación Central,206792,3333,1611.8,41,19.8,454,219.5,451,218.1,1611.7644779999998
Metropolitana,RM,Huechuraba,112528,1827,1623.6,52,46.2,246,218.6,246,218.6,1623.5959050000001
Metropolitana,RM,Independencia,142065,4056,2855.0,111,78.1,438,308.3,434,305.5,2855.031148
Metropolitana,RM,Isla de Maipo,40171,174,433.1,6,14.9,28,69.7,28,69.7,433.14829110000005
Metropolitana,RM,La Cisterna,100434,1671,1663.8,32,31.9,346,344.5,342,340.5,1663.779198
