Región,ID_Región,Comuna,Población,Número de Casos Confirmados,Tasa incidencia acumulada,Número de Casos Actuales,Tasa de Incidencia Actual,Número de Casos Activos,Tasa de Incidencia Activos,Confirmados/100kHab
Arica y Parinacota,15,Arica,247552,328,"132,5",62,"25,0",61,"24,6","132,4974147"
Arica y Parinacota,15,Camarones,1233,0,"0,0",0,"0,0",0,"0,0",0
Arica y Parinacota,15,General Lagos,810,0,"0,0",0,"0,0",0,"0,0",0
Arica y Parinacota,15,Putre,2515,0,"0,0",0,"0,0",0,"0,0",0
Tarapacá,1,Alto Hospicio,129999,161,"123,8",93,"71,5",93,"71,5","123,8471065"
Tarapacá,1,Camiña,1375,0,"0,0",0,"0,0",0,"0,0",0
Tarapacá,1,Colchane,1583,0,"0,0",0,"0,0",0,"0,0",0
Tarapacá,1,Huara,3000,6,"200,0",6,"200,0",6,"200,0",200
Tarapacá,1,Iquique,223463,253,"113,2",169,"75,6",169,"75,6","113,2178481"
Tarapacá,1,Pica,5958,35,"587,4",3,"50,4",3,"50,4","587,4454515"
Tarapacá,1,Pozo Almonte,17395,4,"23,0",2,"11,5",2,"11,5","22,99511354"
Antofagasta,2,Antofagasta,425725,601,"141,2",237,"55,7",235,"55,2","141,1709437"
Antofagasta,2,Calama,190336,102,"53,6",33,"17,3",32,"16,8","53,58944183"
Antofagasta,2,María Pinto,6814,47,"689,8",25,"366,9",25,"366,9","689,7563839"
Antofagasta,2,Mejillones,14776,134,"906,9",79,"534,7",79,"534,7","906,8760152"
Antofagasta,2,Ollagüe,287,0,"0,0",0,"0,0",0,"0,0",0
Antofagasta,2,San Pedro de Atacama,10434,4,"38,3",0,"0,0",0,"0,0","38,33620855"
Antofagasta,2,Sierra Gorda,1746,2,"114,5",2,"114,5",2,"114,5","114,5475372"
Antofagasta,2,Taltal,13657,8,"58,6",1,"7,3",1,"7,3","58,5780186"
Antofagasta,2,Tocopilla,28079,14,"49,9",2,"7,1",2,"7,1","49,85932547"
Atacama,3,Alto del Carmen,5729,0,"0,0",0,"0,0",0,"0,0",0
Atacama,3,Caldera,19426,1,"5,1",1,"5,1",1,"5,1","5,147740142"
Atacama,3,Chañaral,13164,0,"0,0",0,"0,0",0,"0,0",0
Atacama,3,Copiapó,171766,48,"27,9",32,"18,6",32,"18,6","27,94499493"
Atacama,3,Diego de Almagro,14358,2,"13,9",1,"7,0",1,"7,0","13,92951665"
Atacama,3,Freirina,7681,1,"13,0",0,"0,0",0,"0,0","13,01913813"
Atacama,3,Huasco,11264,1,"8,9",1,"8,9",1,"8,9","8,877840909"
Atacama,3,Tierra Amarilla,14312,9,"62,9",2,"14,0",2,"14,0","62,8842929"
Atacama,3,Vallenar,57009,28,"49,1",13,"22,8",13,"22,8","49,11505201"
Coquimbo,4,Andacollo,11791,3,"25,4",3,"25,4",3,"25,4","25,44313459"
Coquimbo,4,Canela,9546,1,"10,5",1,"10,5",1,"10,5","10,47559187"
Coquimbo,4,Combarbalá,13884,0,"0,0",0,"0,0",0,"0,0",0
Coquimbo,4,Coquimbo,256735,35,"13,6",9,"3,5",9,"3,5","13,63273414"
Coquimbo,4,Illapel,32801,19,"57,9",1,"3,0",1,"3,0","57,92506326"
Coquimbo,4,La Higuera,4450,0,"0,0",0,"0,0",0,"0,0",0
Coquimbo,4,La Serena,249656,33,"13,2",12,"4,8",12,"4,8","13,21818823"
Coquimbo,4,Los Vilos,23374,1,"4,3",0,"0,0",0,"0,0","4,278257893"
Coquimbo,4,Monte Patria,32527,0,"0,0",0,"0,0",0,"0,0",0
Coquimbo,4,Ovalle,121269,16,"13,2",5,"4,1",5,"4,1","13,19380881"
Coquimbo,4,Paiguano,4675,0,"0,0",0,"0,0",0,"0,0",0
Coquimbo,4,Punitaqui,12165,5,"41,1",4,"32,9",4,"32,9","41,10152076"
Coquimbo,4,Río Hurtado,4372,1,"22,9",0,"0,0",0,"0,0","22,87282708"
Coquimbo,4,Salamanca,29110,9,"30,9",2,"6,9",2,"6,9","30,91721058"
Coquimbo,4,Vicuña,29741,1,"3,4",1,"3,4",1,"3,4","3,362361723"
Valparaíso,5,Algarrobo,15174,12,"79,1",2,"13,2",1,"6,6","79,08264136"
Valparaíso,5,Cabildo,20663,5,"24,2",2,"9,7",2,"9,7","24,19784155"
Valparaíso,5,Calera,53591,22,"41,1",0,"0,0",0,"0,0","41,05166912"
Valparaíso,5,Calle Larga,16482,10,"60,7",4,"24,3",4,"24,3","60,67224851"
Valparaíso,5,Cartagena,25357,14,"55,2",6,"23,7",6,"23,7","55,21157866"
Valparaíso,5,Casablanca,29170,4,"13,7",1,"3,4",1,"3,4","13,71271855"
Valparaíso,5,Catemu,15213,1,"6,6",1,"6,6",1,"6,6","6,573325445"
Valparaíso,5,Con Con,45889,23,"50,1",6,"13,1",6,"13,1","50,12094402"
Valparaíso,5,El Quisco,17742,16,"90,2",5,"28,2",5,"28,2","90,18149025"
Valparaíso,5,El Tabo,14338,14,"97,6",1,"7,0",1,"7,0","97,64262798"
Valparaíso,5,Hijuelas,19099,1,"5,2",0,"0,0",0,"0,0","5,235876224"
Valparaíso,5,Isla de Pascua,8277,5,"60,4",0,"0,0",0,"0,0","60,40836052"
Valparaíso,5,Juan Fernández,1033,0,"0,0",0,"0,0",0,"0,0",0
Valparaíso,5,La Cruz,25321,14,"55,3",6,"23,7",6,"23,7","55,29007543"
Valparaíso,5,La Ligua,37739,3,"7,9",1,"2,6",1,"2,6","7,94933623"
Valparaíso,5,Limache,49931,25,"50,1",2,"4,0",2,"4,0","50,06909535"
Valparaíso,5,Concón,26533,4,"15,1",2,"7,5",2,"7,5","15,07556628"
Valparaíso,5,Los Andes,68093,15,"22,0",8,"11,7",8,"11,7","22,02869605"
Valparaíso,5,Nogales,23490,0,"0,0",0,"0,0",0,"0,0",0
Valparaíso,5,Olmué,19266,2,"10,4",0,"0,0",0,"0,0","10,38098204"
Valparaíso,5,Panquehue,7633,0,"0,0",0,"0,0",0,"0,0",0
Valparaíso,5,Papudo,6201,0,"0,0",0,"0,0",0,"0,0",0
Valparaíso,5,Petorca,10558,6,"56,8",0,"0,0",0,"0,0","56,82894488"
Valparaíso,5,Puchuncaví,20071,0,"0,0",0,"0,0",0,"0,0",0
Valparaíso,5,Putaendo,17645,7,"39,7",2,"11,3",2,"11,3","39,67129498"
Valparaíso,5,Quillota,97572,28,"28,7",5,"5,1",5,"5,1","28,69675727"
Valparaíso,5,Quilpué,167085,50,"29,9",12,"7,2",12,"7,2","29,92488853"
Valparaíso,5,Quintero,36135,14,"38,7",4,"11,1",4,"11,1","38,74360039"
Valparaíso,5,Rinconada,11263,3,"26,6",0,"0,0",0,"0,0","26,63588742"
Valparaíso,5,San Antonio,96761,125,"129,2",58,"59,9",57,"58,9","129,1842788"
Valparaíso,5,San Esteban,20643,5,"24,2",2,"9,7",2,"9,7","24,22128567"
Valparaíso,5,San Felipe,83494,12,"14,4",4,"4,8",4,"4,8","14,37229022"
Valparaíso,5,Santa María,16367,19,"116,1",12,"73,3",12,"73,3","116,0872487"
Valparaíso,5,Santo Domingo,11934,21,"176,0",3,"25,1",3,"25,1","175,967823"
Valparaíso,5,Valparaíso,315732,169,"53,5",86,"27,2",83,"26,3","53,52640847"
Valparaíso,5,Villa Alemana,139310,36,"25,8",18,"12,9",18,"12,9","25,84164812"
Valparaíso,5,Viña del Mar,361371,168,"46,5",52,"14,4",51,"14,1","46,4896187"
Valparaíso,5,Zapallar,7994,0,"0,0",0,"0,0",0,"0,0",0
Metropolitana,RM,Alhué,7405,0,"0,0",0,"0,0",0,"0,0",0
Metropolitana,RM,Buin,109641,114,"104,0",47,"42,9",46,"42,0","103,9757025"
Metropolitana,RM,Calera de Tango,28525,21,"73,6",5,"17,5",5,"17,5","73,6196319"
Metropolitana,RM,Cerrillos,88956,308,"346,2",202,"227,1",200,"224,8","346,2385899"
