Región,Casos nuevos,Casos totales,% Casos totales**,Fallecidos
Arica y Parinacota,0,0,0.0,0
Tarapacá,0,0,0.0,0
Antofagasta,0,2,2.67,0
Atacama,0,1,1.33,0
Coquimbo,0,0,0.0,0
Valparaíso,0,0,0.0,0
Metropolitana,14,54,72.0,0
O’Higgins,0,0,0.0,0
Maule,0,9,12.0,0
Ñuble,0,4,5.33,0
Biobío,0,3,4.0,0
Araucanía,0,0,0.0,0
Los Ríos,0,0,0.0,0
Los Lagos,0,1,1.33,0
Aysén,0,1,1.33,0
Magallanes,0,0,0.0,0
