Fecha,Casos recuperados,Fallecidos,Casos totales,Casos nuevos totales,Casos nuevos con sintomas,Casos nuevos sin sintomas,Casos activos
2020-06-29,,5575,275999,4017,3092,432.0,34270
2020-06-30,,5688,279393,3394,2690,338.0,32476
2020-07-01,,5753,282043,2650,2134,300.0,30847
2020-07-02,,5920,284541,2498,2042,230.0,29374
2020-07-03,,6051,288089,3548,2703,322.0,28695
2020-07-04,,6192,291847,3758,2951,371.0,28210
2020-07-05,,6308,295532,3685,2852,438.0,28194
2020-07-06,,6384,298557,3025,2354,404.0,27804
2020-07-07,,6434,301019,2462,1946,266.0,26340
2020-07-08,,6573,303083,2064,1638,265.0,24807
