Región,Casos nuevos,Casos totales,% Casos totales**,Fallecidos
Arica y Parinacota,0,0,0.0,0
Tarapacá,0,0,0.0,0
Antofagasta,0,0,0.0,0
Atacama,0,0,0.0,0
Coquimbo,0,0,0.0,0
Valparaíso,0,0,0.0,0
Metropolitana,6,29,67.44,0
O’Higgins,0,0,0.0,0
Maule,1,8,18.6,0
Ñuble,1,2,4.65,0
Biobío,2,3,6.98,0
Araucanía,0,0,0.0,0
Los Ríos,0,0,0.0,0
Los Lagos,0,1,2.33,0
Aysén,0,0,0.0,0
Magallanes,0,0,0.0,0
